fid,MS_ID,Per_extent,Tem_extent,Street_type_NOR,Resident_NOR,DayNight_NOR,PRM_NOR,Index_population,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PF_Index_acc_loss,PFResident_lossR,PFDaynight_lossR,PFPRM_lossR,PF_Index_population,PFAB2k_lossR,N_PFAB2k_lossR,PFAB2k_NOR,PFAB5k_lossR,N_PFAB5k_lossR,PFAB5k_NOR,PFABC_NOR,PF_Index_centrality,PF_Index_V_equal,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TF_Index_acc_loss,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TF_Index_population,TFAB2k_lossR,N_TFAB2k_lossR,TFAB2k_NOR,TFAB5k_lossR,N_TFAB5k_lossR,TFAB5k_NOR,TFABC_NOR,TF_Index_centrality,TF_Index_V_equal,PF_Index_Risk_equal,TF_Index_Risk_equal
24364,24364,0,0,0.75,0.298547359720972,0.882652612035425,0.172120572897912,0.451106848218103,,-0.0974901017746414,-0.185126582278481,0.0942055613510408,0,0,0,0,-0.204902212923893,0.204902212923893,0.204902212923893,-0.275818775113247,0.275818775113247,0.275818775113247,0.191911273293973,0.24036049401857,0.107192904180163,,-0.318079934333807,-0.276898734177215,0.198326222837007,-0.466666666666667,-0.33306342780027,0,0.120254574113382,-1,1,1,-1,1,1,0.191911273293973,1,0.379226754946849,0.107192904180163,0.379226754946849
24365,24365,0,0,0.75,0.298547359720972,0.882652612035425,0.172120572897912,0.451106848218103,,-0.0974901017746414,-0.18740157480315,0.094963892192597,0,0,0,0,-0.205692141918172,0.205692141918172,0.205692141918172,-0.276223482752568,0.276223482752568,0.276223482752568,0.191690161737669,0.24095781233537,0.107721399180141,,-0.294367664479346,-0.279527559055118,0.191298407844821,-0.466666666666667,-0.33306342780027,0,0.120254574113382,-0.998523469096403,0.998523469096403,0.998523469096403,-0.999437335871969,0.999437335871969,0.999437335871969,0.191690161737669,0.998980402484186,0.375457948071803,0.107721399180141,0.375457948071803
24366,24366,0,0,0.75,0.431502419517495,0.882652612035425,0.172120572897912,0.495425201483611,,-0.120235414329038,-0.194615384615385,0.104950266314807,0,0,0,0,-0.208600902427048,0.208600902427048,0.208600902427048,-0.277837947035921,0.277837947035921,0.277837947035921,0.190096573441303,0.243219424731484,0.113279989340275,,-0.312151212395513,-0.288461538461538,0.200204250285684,-0.12962962962963,-0.0279352226720648,0,0.0260205328994341,-0.994854575331309,0.994854575331309,0.994854575331309,-0.9980466185174,0.9980466185174,0.9980466185174,0.190096573441303,0.996450596924355,0.355719907598789,0.113279989340275,0.355719907598789
24367,24367,0,0,0.75,0.491480792112977,0.899093191017836,0.172120572897912,0.520898185342908,,-0.120235414329038,-0.201486988847584,0.107240801058874,0,0,0,0,-0.197057331621758,0.197057331621758,0.197057331621758,-0.303142468286321,0.303142468286321,0.303142468286321,0.219511024725272,0.25009989995404,0.116145375517947,,-0.312151212395513,-0.298884758364312,0.203678656919942,-0.0421052631578947,0,0,0.00731085172411099,-0.981626321313151,0.981626321313151,0.981626321313151,-0.992136678324579,0.992136678324579,0.992136678324579,0.219511024725272,0.986881499818865,0.350387416345715,0.116145375517947,0.350387416345715
24368,24368,0,0,0.75,0.65492237718942,0.952051444479384,0.644059329522577,0.75034438373046,,-0.134879932211296,-0.208579881656805,0.1144866046227,0,0,0,0,-0.215218496004318,0.215218496004318,0.215218496004318,-0.308656655482091,0.308656655482091,0.308656655482091,0.226346361107599,0.261937575743204,0.122727696247151,,-0.323601109372988,-0.303254437869822,0.208951849080937,-0.0068649885583524,-0.151419769622288,0,0.0395893597769924,-0.770441088894028,0.770441088894028,0.770441088894028,-0.890838050747868,0.890838050747868,0.890838050747868,0.226346361107599,0.830639569820948,0.322033156939953,0.122727696247151,0.322033156939953
24398,24398,0,0,1,0.291597968009405,0.470009878652562,0,0.253869282220655,0,0,0,0,0,0,,0,8.26493616535228e-08,8.26493616535228e-08,8.26493616535228e-08,-0.00584256191817824,0.00584256191817824,0.00584256191817824,0.0710458275389411,0.00292132228376995,0.000730330570942487,-1,-0.611225333123204,-0.904109589041096,0.838444974054767,0,0,,0,-0.414089170561587,0.414089170561587,0.414089170561587,-0.560695824329123,0.560695824329123,0.560695824329123,0.0710458275389411,0.487392497445355,0.541070611388722,0.000730330570942487,0.541070611388722
24399,24399,0,0,1,0.291597968009405,0.470009878652562,0,0.253869282220655,0,0,0,0,0,0,,0,0,0,0,-0.00698851077438801,0.00698851077438801,0.00698851077438801,0.0724567392306609,0.00349425538719401,0.000873563846798501,-1,-0.539368198584801,-0.900662251655629,0.813343483413477,0,0,,0,-0.407389967305255,0.407389967305255,0.407389967305255,-0.559286774882007,0.559286774882007,0.559286774882007,0.0724567392306609,0.483338371093631,0.527506334480146,0.000873563846798501,0.527506334480146
24400,24400,0,0,1,0.291597968009405,0.470009878652562,0,0.253869282220655,0,0,0,0,0,0,,0,-8.24581432157769e-08,8.24581432157769e-08,8.24581432157769e-08,-0.00702847203721107,0.00702847203721107,0.00702847203721107,0.0723501930332795,0.00351427724767714,0.000878569311919286,-1,-0.539368198584801,-0.894039735099338,0.811135977894713,0,0,,0,-0.406796158934773,0.406796158934773,0.406796158934773,-0.559020834776827,0.559020834776827,0.559020834776827,0.0723501930332795,0.4829084968558,0.526295113161306,0.000878569311919286,0.526295113161306
24401,24401,0,0,1,0,0.470009878652562,0,0.156669959550854,0,0,0,0,,0,,0,0,0,0,-0.00700597455868031,0.00700597455868031,0.00700597455868031,0.0713684506842088,0.00350298727934016,0.000875746819835039,-1,-0.539368198584801,-0.895424836601307,0.811597678395369,,0,,0,-0.404693612774366,0.404693612774366,0.404693612774366,-0.557668517084901,0.557668517084901,0.557668517084901,0.0713684506842088,0.481181064929633,0.526094105430093,0.000875746819835039,0.526094105430093
24402,24402,0,0,1,0,0.470009878652562,0,0.156669959550854,0,0,0,0,,0,,0,9.21766454798647e-08,9.21766454798647e-08,9.21766454798647e-08,-0.00709257188620205,0.00709257188620205,0.00709257188620205,0.0693495465485523,0.00354633203142376,0.000886583007855941,-1,-0.518175498273417,-0.897590361445783,0.805255286573067,,0,,0,-0.39843599276782,0.39843599276782,0.39843599276782,-0.554409835347847,0.554409835347847,0.554409835347847,0.0693495465485523,0.476422914057834,0.521733371800992,0.000886583007855941,0.521733371800992
24403,24403,0,0,1,0.291597968009405,0.470009878652562,0,0.253869282220655,0,0,0,0,0,0,,0,0,0,0,-0.00748353684303188,0.00748353684303188,0.00748353684303188,0.0671748854871104,0.00374176842151594,0.000935442105378986,-1,-0.536391467630267,-0.898876404494382,0.811755957374883,0,0,,0,-0.386817961717605,0.386817961717605,0.386817961717605,-0.549743434732618,0.549743434732618,0.549743434732618,0.0671748854871104,0.468280698225111,0.522948153243719,0.000935442105378986,0.522948153243719
24404,24404,0,0,1,0.291597968009405,0.781750870347404,0.327662055205119,0.467003631187309,0,0,0,0,0,0,0,0,0,0,0,-0.00812166419376731,0.00812166419376731,0.00812166419376731,0.0656619891601456,0.00406083209688366,0.00101520802422091,-1,-0.536391467630267,-0.906735751295337,0.814375739641868,0,-0.957383177570094,-1,0.304701683850062,-0.372994955506433,0.372994955506433,0.372994955506433,-0.545438308626839,0.545438308626839,0.545438308626839,0.0656619891601456,0.459216632066636,0.598167448800109,0.00101520802422091,0.598167448800109
24405,24405,0,0,1,0.553645070779689,0.783983502476528,0.63469800603406,0.657442193096759,0,0,0,0,0,0,0,0,0,0,0,-0.00880768910405523,0.00880768910405523,0.00880768910405523,0.0650407636405277,0.00440384455202761,0.0011009611380069,-1,-0.528754833143336,-0.897058823529412,0.808604552224249,-0.917647058823529,-0.936038011695906,-0.0787878787878788,0.423496417964254,-0.358926062170169,0.358926062170169,0.358926062170169,-0.542386490840645,0.542386490840645,0.542386490840645,0.0650407636405277,0.450656276505407,0.62284044972954,0.0011009611380069,0.62284044972954
24406,24406,0,0,1,0.702603440901442,0.783983502476528,0.63469800603406,0.707094983137343,0,0,0,0,0,0,0,0,0,0,0,-0.00931718911814704,0.00931718911814704,0.00931718911814704,0.0633105370773366,0.00465859455907352,0.00116464863976838,-1,-0.541366597679714,-0.89622641509434,0.812531004258018,-0.331864904552129,-0.936038011695906,-0.0787878787878788,0.317412768335712,-0.339676039698398,0.339676039698398,0.339676039698398,-0.537809480383209,0.537809480383209,0.537809480383209,0.0633105370773366,0.438742760040804,0.595304384223138,0.00116464863976838,0.595304384223138
24407,24407,0,0,1,0.732230064726357,0.791909359484153,0.681499638549957,0.735213020920156,0,0,0,0,0,0,0,0,7.09863618871951e-08,7.09863618871951e-08,7.09863618871951e-08,-0.0102593202598769,0.0102593202598769,0.0102593202598769,0.0621296432556798,0.00512969562311937,0.00128242390577984,-1,-0.523964924070639,-0.895454545454546,0.806473156508395,-0.492753623188406,-0.940958164642375,-0.369294605809129,0.441864592468785,-0.312695846935799,0.312695846935799,0.312695846935799,-0.53295333690407,0.53295333690407,0.53295333690407,0.0621296432556798,0.422824591919935,0.619408874351377,0.00128242390577984,0.619408874351377
24408,24408,0,0,1,0.732230064726357,0.791909359484153,0.681499638549957,0.735213020920156,0,0,0,0,0,0,0,0,0,0,0,-0.0119917009310384,0.0119917009310384,0.0119917009310384,0.0624569006843093,0.00599585046551918,0.0014989626163798,-0.556859917445102,-0.542250148674749,-0.895454545454546,0.664854870524799,-0.492753623188406,-0.940958164642375,-0.369294605809129,0.441864592468785,-0.265519143337365,0.265519143337365,0.265519143337365,-0.527265617568618,0.527265617568618,0.527265617568618,0.0624569006843093,0.396392380452992,0.541991678492843,0.0014989626163798,0.541991678492843
24409,24409,0,0,1,0.732230064726357,0.783983502476528,0.63469800603406,0.716970524412315,0,0,0,0,0,0,0,0,0,0,0,-0.0128181333813644,0.0128181333813644,0.0128181333813644,0.0619642582192304,0.0064090666906822,0.00160226667267055,-1,-0.559545287915544,-0.899563318777293,0.819702868897612,-0.492753623188406,-0.936038011695906,-0.0787878787878788,0.360296691503604,-0.235082767959063,0.235082767959063,0.235082767959063,-0.523159624928793,0.523159624928793,0.523159624928793,0.0619642582192304,0.379121196443928,0.594705906435689,0.00160226667267055,0.594705906435689
