fid,MS_ID,PFABw2kwl,PFABw5kwl,PFARw2kiw,PFARw2ktw,PFARw2kmw,PFARw500re,PFARw500dn,PFARw500rm,Per_extent,Tem_extent
1,1,95240048,622842944,0,22.2350006103516,52,0,0,0,0,0
2,2,95769384,627051776,0,22.2350006103516,52,0,0,0,0,0
3,3,95964136,629628352,0,22.2350006103516,52,0,0,0,0,0
4,4,3799995.5,29077744,0,10.581000328064,0,0,0,0,0,0
5,5,3836079.75,29352854,0,10.581000328064,0,0,0,0,0,0
6,6,3786807.75,29095030,0,10.581000328064,0,0,0,0,0,0
7,7,3738811,28837998,0,10.581000328064,0,0,0,0,0,0
8,8,3691306.25,28576858,0,10.581000328064,0,0,0,0,0,0
9,9,3709297.25,28537864,0,10.581000328064,0,0,0,0,0,0
10,10,3796304.75,28723058,0,10.581000328064,0,0,0,0,0,0
11,11,3886777.75,28920428,0,10.581000328064,0,0,0,0,0,0
12,12,3979629.25,29129766,0,10.581000328064,0,0,0,0,0,0
13,13,4072542.75,29333940,0,10.581000328064,0,0,0,0,0,0
14,14,4166413,29539952,0,10.581000328064,0,0,0,0,0,0
15,15,4262775.5,29758546,0,10.581000328064,0,0,0,0,0,0
16,16,4363145.5,29992424,0,11.5620002746582,0,0,0,0,0,0
17,17,4464085.5,30226124,0,11.5620002746582,0,0,0,0,0,0
18,18,4564326.5,30459350,0,11.5620002746582,0,0,0,0,0,0
19,19,4665965.5,30698456,0,11.5620002746582,0,0,0,0,0,0
20,20,4766282,30932226,0,11.5620002746582,0,0,0,0,0,0
21,21,4866305.5,31167828,0,11.5620002746582,0,0,0,0,0,0
22,22,4967978.5,31415106,0,11.5620002746582,0,0,0,0,0,0
23,23,5071750,31678744,0,11.5620002746582,0,0,0,0,0,0
24,24,5172569.5,31936328,0,12.5430002212524,0,0,0,0,0,0
25,25,5270084.5,32188084,0,12.5430002212524,0,0,0,0,0,0
26,26,5369525,32443440,0,12.5430002212524,0,0,0,0,0,0
27,27,5466812,32698098,0,12.5430002212524,0,0,0,0,0,0
28,28,5557780,32942800,0,12.5430002212524,0,0,0,0,0,0
29,29,5641516.5,33170612,0,12.5430002212524,0,0,0,0,0,0
30,30,5718119.5,33384186,0,12.5430002212524,0,0,0,0,0,0
31,31,5789385,33599860,0,12.5430002212524,0,0,0,0,0,0
32,32,5853585.5,33824912,0,12.5430002212524,0,0,0,0,0,0
33,33,5880708,33865232,0,12.5430002212524,0,0,0,0,0,0
34,34,5894019,33761140,0,12.5430002212524,0,0,0,0,0,0
35,35,49663448,1297013248,0,12.5430002212524,0,0,0,0,0,0
36,36,49577768,1296742784,0,12.5430002212524,0,0,0,0,0,0
37,37,49498340,1296536064,0,12.5430002212524,0,0,0,0,0,0
38,38,49414736,1296317568,0,12.5430002212524,0,0,0,0,0,0
39,39,49327584,1296096000,0,12.5430002212524,0,0,0,0,0,0
40,40,49239080,1295873920,0,12.5430002212524,0,0,0,0,0,0
41,41,49149800,1295655168,0,12.5430002212524,0,0,0,0,0,0
42,42,49061340,1295446272,0,12.5430002212524,0,0,0,0,0,0
43,43,48975304,1295248512,0,12.5430002212524,0,0,0,0,0,0
44,44,48890708,1295048576,0,12.5430002212524,0,0,0,0,0,0
45,45,48807876,1294855040,0,12.5430002212524,0,0,0,0,0,0
46,46,48726296,1294666496,0,11.5620002746582,0,0,0,0,0,0
47,47,48644744,1294478592,0,11.5620002746582,0,0,0,0,0,0
48,48,48562452,1294273280,0,11.5620002746582,0,0,0,0,0,0
