fid,MS_ID,TFABw2kwl,TFABw5kwl,TFARw2kiw,TFARw2ktw,TFARw2kmw,TFARw500re,TFARw500dn,TFARw500rm,Per_extent,Tem_extent
1,1,95416712,624272448,0,22.2350006103516,52,0,0,0,0,0
2,2,95946128,628481280,0,22.2350006103516,52,0,0,0,0,0
3,3,96134728,631057856,0,22.2350006103516,52,0,0,0,0,0
4,4,3799995.75,29077944,0,10.581000328064,0,0,0,0,0,0
5,5,3836079.75,29353048,0,10.581000328064,0,0,0,0,0,0
6,6,3786807.5,29095228,0,10.581000328064,0,0,0,0,0,0
7,7,3738811.5,28838192,0,10.581000328064,0,0,0,0,0,0
8,8,3691305.75,28577052,0,10.581000328064,0,0,0,0,0,0
9,9,3709297.5,28538058,0,10.581000328064,0,0,0,0,0,0
10,10,3796305,28723250,0,10.581000328064,0,0,0,0,0,0
11,11,3886777,28920620,0,10.581000328064,0,0,0,0,0,0
12,12,3979629,29129960,0,10.581000328064,0,0,0,0,0,0
13,13,4072542.75,29334132,0,10.581000328064,0,0,0,0,0,0
14,14,4166413.5,29540152,0,10.581000328064,0,0,0,0,0,0
15,15,4262775.5,29758738,0,10.581000328064,0,0,0,0,0,0
16,16,4363146,29992620,0,11.5620002746582,0,0,0,0,0,0
17,17,4464086,30226318,0,11.5620002746582,0,0,0,0,0,0
18,18,4564326,30459544,0,11.5620002746582,0,0,0,0,0,0
19,19,4665966,30698650,0,11.5620002746582,0,0,0,0,0,0
20,20,4766282.5,30932420,0,11.5620002746582,0,0,0,0,0,0
21,21,4866306,31168024,0,11.5620002746582,0,0,0,0,0,0
22,22,4967978.5,31415298,0,11.5620002746582,0,0,0,0,0,0
23,23,5071749,31678936,0,11.5620002746582,0,0,0,0,0,0
24,24,5172569,31936522,0,12.5430002212524,0,0,0,0,0,0
25,25,5270085,32188278,0,12.5430002212524,0,0,0,0,0,0
26,26,5369524.5,32443634,0,12.5430002212524,0,0,0,0,0,0
27,27,5466813,32698292,0,12.5430002212524,0,0,0,0,0,0
28,28,5557781,32942994,0,12.5430002212524,0,0,0,0,0,0
29,29,5641517,33170808,0,12.5430002212524,0,0,0,0,0,0
30,30,5718120,33384380,0,12.5430002212524,0,0,0,0,0,0
31,31,5789385.5,33600056,0,12.5430002212524,0,0,0,0,0,0
32,32,5853585,33825104,0,12.5430002212524,0,0,0,0,0,0
33,33,5880708.5,33865424,0,12.5430002212524,0,0,0,0,0,0
34,34,5894019.5,33761336,0,12.5430002212524,0,0,0,0,0,0
35,35,49663448,1297013760,0,12.5430002212524,0,0,0,0,0,0
36,36,49577764,1296743296,0,12.5430002212524,0,0,0,0,0,0
37,37,49498348,1296536576,0,12.5430002212524,0,0,0,0,0,0
38,38,49414732,1296318208,0,12.5430002212524,0,0,0,0,0,0
39,39,49327588,1296096384,0,12.5430002212524,0,0,0,0,0,0
40,40,49239080,1295874432,0,12.5430002212524,0,0,0,0,0,0
41,41,49149800,1295655680,0,12.5430002212524,0,0,0,0,0,0
42,42,49061344,1295446656,0,12.5430002212524,0,0,0,0,0,0
43,43,48975316,1295248896,0,12.5430002212524,0,0,0,0,0,0
44,44,48890712,1295048960,0,12.5430002212524,0,0,0,0,0,0
45,45,48807876,1294855424,0,12.5430002212524,0,0,0,0,0,0
46,46,48726288,1294667008,0,11.5620002746582,0,0,0,0,0,0
47,47,48644740,1294478848,0,11.5620002746582,0,0,0,0,0,0
48,48,48562448,1294273792,0,11.5620002746582,0,0,0,0,0,0
49,49,48471380,1294033280,0,11.5620002746582,0,0,0,0,0,0
50,50,48380880,1293812992,0,11.5620002746582,0,0,0,0,0,0
51,51,48281668,1293558272,0,11.5620002746582,0,0,0,0,0,0
52,52,48174312,1293279232,0,11.5620002746582,0,0,0,0,0,0
53,53,48066060,1293011840,0,11.5620002746582,0,0,0,0,0,0
54,54,47957132,1292756480,0,11.5620002746582,0,0,0,0,0,0
55,55,47846856,1292490880,0,11.5620002746582,0,0,0,0,0,0
56,56,47734916,1292223360,0,11.5620002746582,0,0,0,0,0,0
57,57,47620796,1291956864,0,11.5620002746582,0,0,0,0,0,0
58,58,47507100,1291698944,0,10.581000328064,0,0,0,0,0,0
59,59,47391384,1291434240,0,10.581000328064,0,0,0,0,0,0
60,60,47274856,1291171200,0,10.581000328064,0,0,0,0,0,0
61,61,47157900,1290913408,0,10.581000328064,0,0,0,0,0,0
62,62,47041616,1290656512,0,10.581000328064,0,0,0,0,0,0
63,63,46565824,1288598400,0,10.581000328064,0,0,0,0,0,0
64,64,6069529.5,142966976,0,6.7020001411438,28,0,0,0,0,0
65,65,5800506,138443056,0,6.7020001411438,28,0,0,0,0,0
