fid,MS_ID,Per_extent,Tem_extent,Street_type_NOR,ARw500re,ARw500dn,ARw500rm,Resident_NOR,DayNight_NOR,PRM_NOR,Index_population,ABw2kwl,ABw5kwl,ARw2kiw,ARw2ktw,ARw2kmw,PFARw2kiw,PFlossR_2kiw,N_PFlossR_2kiw,PFARw2ktw,PFlossR_2ktw,N_PFlossR_2ktw,PFARw2kmw,PFlossR_2kmw,N_PFlossR_2kmw,PF_Index_acc_loss,PFARw500re,PFARw500dn,PFARw500rm,PFResident_lossR,PFDaynight_lossR,PFPRM_lossR,PF_Index_population,PFABw2kwl,PFABw5kwl,PFAB2k_lossR,N_PFAB2k_lossR,PFAB2k_NOR,PFAB5k_lossR,N_PFAB5k_lossR,PFAB5k_NOR,PF_Index_centrality,PF_Index_V_equal,TFARw2kiw,TFlossR_2kiw,N_TFlossR_2kiw,TFARw2ktw,TFlossR_2ktw,N_TFlossR_2ktw,TFARw2kmw,TFlossR_2kmw,N_TFlossR_2kmw,TF_Index_acc_loss,TFARw500re,TFARw500dn,TFARw500rm,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TF_Index_population,TFABw2kwl,TFABw5kwl,TFAB2k_lossR,N_TFAB2k_lossR,TFAB2k_NOR,TFAB5k_lossR,N_TFAB5k_lossR,TFAB5k_NOR,TF_Index_centrality,TF_Index_V_equal,PF_Index_Risk_equal,TF_Index_Risk_equal,pop_level,street_level,acc_level,exp_level,cause_label,intervention_label,intervention_name,cause_label_v4
24342,24342,1,0,0.75,163,118,49,0.549144431247118,0.47339670880346,0.485711880368725,0.502751006806434,112392856.0,2334281984.0,60.0,59.1860008239746,374,,,1.0,,,1.0,,,1.0,1.0,,,,-1.0,-1.0,-1.0,0.502751006806434,,,-1.0,1.0,0.75,-1.0,1.0,0.75,0.75,0.813187751701609,60.0,0.0,0.0,57.4370002746582,-0.0295509161789478,-0.0295509161789478,367.0,-0.018716577540107,-0.018716577540107,0.0160891645730182,163.0,118.0,49.0,0.0,0.0,0.0,0.0,112046336.0,1944164352.0,-0.003083114108249,0.003083114108249,0.0023123355811867,-0.16712532362157,0.16712532362157,0.125343992716177,0.0638281641486821,0.0240016233236796,0.813187751701609,0.0240016233236796,high,high,high,high,B_flood_exposed,2,elevated_or_protected_street,B_flood_exposed
24343,24343,1,0,0.75,190,118,49,0.565555342520913,0.47339670880346,0.485711880368725,0.508221310564366,111832944.0,2329858560.0,60.0,64.9580001831055,386,,,1.0,,,1.0,,,1.0,1.0,,,,-1.0,-1.0,-1.0,0.508221310564366,,,-1.0,1.0,0.75,-1.0,1.0,0.75,0.75,0.814555327641091,60.0,0.0,0.0,63.2089996337891,-0.02692509843878,-0.02692509843878,376.0,-0.0259067357512953,-0.0259067357512953,0.0176106113966918,190.0,118.0,49.0,0.0,0.0,0.0,0.0,111483000.0,1939519616.0,-0.0031291673766542,0.0031291673766542,0.0023468755324906,-0.167537613957132,0.167537613957132,0.125653210467849,0.0640000430001699,0.0248053164483884,0.814555327641091,0.0248053164483884,high,high,high,high,B_flood_exposed,2,elevated_or_protected_street,B_flood_exposed
24344,24344,0,0,0.75,383,118,49,0.640754471973463,0.47339670880346,0.485711880368725,0.533287687048549,114293656.0,2343624704.0,60.0,67.0480041503906,404,0.0,-1.0,-1.0,34.4480018615723,-0.486218832341312,-0.486218832341312,153.0,-0.621287128712871,-0.621287128712871,0.702501987018061,220.0,118.0,49.0,-0.425587467362924,0.0,0.0,0.0756535187022746,0.0,0.0,-1.0,1.0,0.75,-1.0,1.0,0.75,0.75,0.557664373184599,60.0,0.0,0.0,65.2990036010742,-0.0260857958634137,-0.0260857958634137,399.0,-0.0123762376237624,-0.0123762376237624,0.0128206778290587,383.0,118.0,49.0,0.0,0.0,0.0,0.0,113932376.0,1947227904.0,-0.0031609803434759,0.0031609803434759,0.0023707352576069,-0.169138343406027,0.169138343406027,0.12685375755452,0.0646122464060635,0.0225634005160452,0.557664373184599,0.0225634005160452,high,high,high,low,A_one_and_only,1,add_street_connection,A_one_and_only
24345,24345,0,0,0.75,383,118,49,0.640754471973463,0.47339670880346,0.485711880368725,0.533287687048549,114657456.0,2345622784.0,60.0,67.0480041503906,403,0.0,-1.0,-1.0,34.4480018615723,-0.486218832341312,-0.486218832341312,154.0,-0.617866004962779,-0.617866004962779,0.701361612434697,220.0,118.0,49.0,-0.425587467362924,0.0,0.0,0.0756535187022746,308476.8125,3124289.0,-0.997309579130205,0.997309579130205,0.747982184347654,-0.99866803433983,0.99866803433983,0.749001025754873,0.748491605051263,0.556717087155733,60.0,0.0,0.0,65.2990036010742,-0.0260857958634137,-0.0260857958634137,400.0,-0.0074441687344913,-0.0074441687344913,0.0111766548659683,383.0,118.0,49.0,0.0,0.0,0.0,0.0,114293496.0,1948126464.0,-0.0031743247469226,0.0031743247469226,0.002380743560192,-0.16946301967708,0.16946301967708,0.12709726475781,0.0647390041590011,0.0217730784727345,0.556717087155733,0.0217730784727345,high,high,high,low,A_one_and_only,1,add_street_connection,A_one_and_only
24346,24346,0,0,0.75,383,154,49,0.640754471973463,0.499577141056848,0.485711880368725,0.542014497799679,114621728.0,2345137152.0,60.0,67.0480041503906,411,0.0,-1.0,-1.0,34.4480018615723,-0.486218832341312,-0.486218832341312,162.0,-0.605839416058394,-0.605839416058394,0.697352749466569,220.0,154.0,49.0,-0.425587467362924,0.0,0.0,0.0768915257975175,484857.5,4909205.0,-0.995769933777303,0.995769933777303,0.746827450332977,-0.997906644822111,0.997906644822111,0.748429983616583,0.74762871697478,0.554806435426359,60.0,0.0,0.0,65.2990036010742,-0.0260857958634137,-0.0260857958634137,406.0,-0.0121654501216545,-0.0121654501216545,0.0127504153283561,383.0,154.0,49.0,0.0,0.0,0.0,0.0,114256248.0,1947247616.0,-0.0031885752062645,0.0031885752062645,0.0023914314046984,-0.169665785073879,0.169665785073879,0.127249338805409,0.0648203851050537,0.0225803039404415,0.554806435426359,0.0225803039404415,high,high,high,low,A_one_and_only,1,add_street_connection,A_one_and_only
24347,24347,0,0,0.75,379,154,49,0.639626941264292,0.499577141056848,0.485711880368725,0.541638654229955,114613384.0,2344411136.0,60.0,68.4370040893555,416,0.0,-1.0,-1.0,35.8370018005371,-0.476350517130379,-0.476350517130379,166.0,-0.600961538461538,-0.600961538461538,0.692437351863973,300.0,154.0,49.0,-0.20844327176781,0.0,0.0,0.0376336444012018,931222.125,9399395.0,-0.99187510138432,0.99187510138432,0.74390632603824,-0.995990722422503,0.995990722422503,0.746993041816877,0.745449683927559,0.541989508014176,60.0,0.0,0.0,65.2990036010742,-0.04585239418406,-0.04585239418406,414.0,-0.0048076923076923,-0.0048076923076923,0.0168866954972508,379.0,154.0,49.0,0.0,0.0,0.0,0.0,114243656.0,1945402880.0,-0.0032258710727885,0.0032258710727885,0.0024194033045913,-0.170195513010906,0.170195513010906,0.127646634758179,0.0650330190313853,0.0247016025064717,0.541989508014176,0.0247016025064717,high,high,high,low,A_one_and_only,1,add_street_connection,A_one_and_only
24348,24348,0,0,0.75,385,1147,107,0.641313840498067,0.697920329379827,0.58132755336666,0.640187241081518,114569304.0,2342132992.0,60.0,69.3199996948242,444,0.0,-1.0,-1.0,38.9470024108887,-0.438156338973604,-0.438156338973604,192.0,-0.567567567567568,-0.567567567567568,0.668574635513724,306.0,1147.0,107.0,-0.205194805194805,0.0,0.0,0.0437876987406406,2004734.0,20076092.0,-0.982501997219081,0.982501997219081,0.73687649791431,-0.991428286921121,0.991428286921121,0.743571215190841,0.740223856552576,0.530290206580166,60.0,0.0,0.0,66.181999206543,-0.0452683280740919,-0.0452683280740919,441.0,-0.0067567567567567,-0.0067567567567567,0.0173416949436162,385.0,1147.0,107.0,0.0,0.0,0.0,0.0,114189592.0,1940417664.0,-0.0033142559720883,0.0033142559720883,0.0024856919790662,-0.171516873453444,0.171516873453444,0.128637655090083,0.0655616735345746,0.0250612658554518,0.530290206580166,0.0250612658554518,high,high,high,low,A_one_and_only,1,add_street_connection,A_one_and_only
24349,24349,0,0,0.75,469,1147,107,0.662515174478861,0.697920329379827,0.58132755336666,0.647254352408449,118920008.0,2365772288.0,60.0,79.2429962158203,472,0.0,-1.0,-1.0,44.1710014343262,-0.442587944125367,-0.442587944125367,214.0,-0.546610169491525,-0.546610169491525,0.663066037872297,335.0,1147.0,107.0,-0.285714285714286,0.0,0.0,0.0616432716579475,4983763.0,48505120.0,-0.958091467669595,0.958091467669595,0.718568600752196,-0.979497130706098,0.979497130706098,0.734622848029573,0.726595724390885,0.528592767948357,60.0,0.0,0.0,76.1050033569336,-0.0395996240518255,-0.0395996240518255,465.0,-0.0148305084745763,-0.0148305084745763,0.0181433775088006,469.0,1147.0,107.0,0.0,0.0,0.0,0.0,118497352.0,1952576000.0,-0.0035541201779939,0.0035541201779939,0.0026655901334954,-0.174655984473177,0.174655984473177,0.130991988354883,0.066828789244189,0.0257788860654476,0.528592767948357,0.0257788860654476,high,high,high,low,A_one_and_only,1,add_street_connection,A_one_and_only
24350,24350,0,0,0.75,469,1147,107,0.662515174478861,0.697920329379827,0.58132755336666,0.647254352408449,120066696.0,2371741184.0,60.0,80.6320037841797,488,0.0,-1.0,-1.0,45.560001373291,-0.434963795576291,-0.434963795576291,231.0,-0.526639344262295,-0.526639344262295,0.653867713279529,335.0,1147.0,107.0,-0.285714285714286,0.0,0.0,0.0616432716579475,5784921.5,55850116.0,-0.951819099777677,0.951819099777677,0.713864324833258,-0.976451850489939,0.976451850489939,0.732338887867455,0.723101606350356,0.52312007614184,60.0,0.0,0.0,77.4940032958984,-0.0389175555735964,-0.0389175555735964,482.0,-0.0122950819672131,-0.0122950819672131,0.0170708791802698,469.0,1147.0,107.0,0.0,0.0,0.0,0.0,119627952.0,1955516032.0,-0.0036541690128626,0.0036541690128626,0.0027406267596469,-0.175493496005338,0.175493496005338,0.131620122004004,0.0671803743818253,0.0253305331855912,0.52312007614184,0.0253305331855912,high,high,high,low,A_one_and_only,1,add_street_connection,A_one_and_only
24353,24353,0,0,0.75,12,1281,0,0.27618912691441,0.708856021963539,0.0,0.328348382959316,49364880.0,961981440.0,60.0,75.681999206543,717,0.0,-1.0,-1.0,54.3090019226074,-0.282405294627679,-0.282405294627679,320.0,-0.553695955369595,-0.553695955369595,0.612033749999092,12.0,1281.0,0.0,0.0,0.0,,0.0,35281960.0,682961472.0,-0.285282168213515,0.285282168213515,0.213961626160137,-0.290047142697472,0.290047142697472,0.217535357023104,0.21574849159162,0.359953997897451,60.0,0.0,0.0,69.8320007324219,-0.0772970922472056,-0.0772970922472056,516.0,-0.280334728033473,-0.280334728033473,0.119210606760226,12.0,1281.0,0.0,0.0,0.0,,0.0,48381372.0,1219433472.0,-0.0199232328732492,0.0199232328732492,0.0149424246549369,0.267626818247138,0.267626818247138,0.200720113685353,0.107831269170145,0.0865631206726494,0.359953997897451,0.0865631206726494,low,low,medium,low,mixed_review,-1,review,C_no_service
24354,24354,0,0,0.75,12,762,0,0.27618912691441,0.657454470891628,0.0,0.311214532602013,49423220.0,960096960.0,60.0,74.359001159668,696,0.0,-1.0,-1.0,54.3090019226074,-0.269637823590557,-0.269637823590557,311.0,-0.55316091954023,-0.55316091954023,0.607599581043595,12.0,762.0,0.0,0.0,0.0,,0.0,34941224.0,680165888.0,-0.293020082463263,0.293020082463263,0.219765061847447,-0.291565418559392,0.291565418559392,0.218674063919544,0.219219562883496,0.358604681242672,60.0,0.0,0.0,69.8320007324219,-0.0608803286306315,-0.0608803286306315,507.0,-0.271551724137931,-0.271551724137931,0.110810684256188,12.0,762.0,0.0,0.0,0.0,,0.0,48576644.0,1222824704.0,-0.0171291146145476,0.0171291146145476,0.0128468359609107,0.273647094976741,0.273647094976741,0.205235321232556,0.109041078596733,0.082665611777277,0.358604681242672,0.082665611777277,low,low,medium,low,mixed_review,-1,review,C_no_service
24355,24355,0,0,0.75,9,877,49,0.247938215477885,0.671360678476815,0.485711880368725,0.468336924774475,50765752.0,966542272.0,60.0,74.359001159668,674,0.0,-1.0,-1.0,54.3090019226074,-0.269637823590557,-0.269637823590557,300.0,-0.554896142433234,-0.554896142433234,0.608177988674597,9.0,877.0,49.0,0.0,0.0,0.0,0.0,35339808.0,683474304.0,-0.303865172725108,0.303865172725108,0.227898879543831,-0.292866619702278,0.292866619702278,0.219649964776709,0.22377442216027,0.360032599877366,60.0,0.0,0.0,69.8320007324219,-0.0608803286306315,-0.0608803286306315,499.0,-0.259643916913947,-0.259643916913947,0.106841415181526,9.0,877.0,49.0,0.0,0.0,0.0,0.0,49996216.0,1231347840.0,-0.0151585659560406,0.0151585659560406,0.0113689244670304,0.273972050339874,0.273972050339874,0.205479037754905,0.108423981110968,0.080526702868505,0.360032599877366,0.080526702868505,low,medium,medium,low,mixed_review,-1,review,C_no_service
24356,24356,0,0,0.75,9,877,49,0.247938215477885,0.671360678476815,0.485711880368725,0.468336924774475,49266016.0,949493248.0,60.0,75.9530029296875,665,0.0,-1.0,-1.0,54.3090019226074,-0.284965704741348,-0.284965704741348,295.0,-0.556390977443609,-0.556390977443609,0.613785560728319,9.0,877.0,49.0,0.0,0.0,0.0,0.0,33345004.0,666122752.0,-0.323164186850424,0.323164186850424,0.242373140137818,-0.298443929534926,0.298443929534926,0.223832947151195,0.233103043644506,0.365168541275286,60.0,0.0,0.0,71.4260025024414,-0.0596026523327446,-0.0596026523327446,495.0,-0.255639097744361,-0.255639097744361,0.105080583359035,9.0,877.0,49.0,0.0,0.0,0.0,0.0,48811908.0,1232980864.0,-0.0092174695027095,0.0092174695027095,0.0069131021270321,0.298567279543203,0.298567279543203,0.223925459657402,0.115419280892217,0.0813951119025719,0.365168541275286,0.0813951119025719,low,medium,high,low,C_no_service,3,add_emergency_service_point,C_no_service
24357,24357,0,0,0.75,9,877,49,0.247938215477885,0.671360678476815,0.485711880368725,0.468336924774475,49135936.0,947104448.0,60.0,75.9530029296875,640,0.0,-1.0,-1.0,54.3090019226074,-0.284965704741348,-0.284965704741348,292.0,-0.54375,-0.54375,0.609571901580449,9.0,877.0,49.0,0.0,0.0,0.0,0.0,32968848.0,663121536.0,-0.329027781214954,0.329027781214954,0.246770835911216,-0.299843288245226,0.299843288245226,0.22488246618392,0.235826651047568,0.363742613552117,60.0,0.0,0.0,71.4260025024414,-0.0596026523327446,-0.0596026523327446,493.0,-0.2296875,-0.2296875,0.0964300507775815,9.0,877.0,49.0,0.0,0.0,0.0,0.0,48769480.0,1234652416.0,-0.0074580038528216,0.0074580038528216,0.0055935028896162,0.303607451751721,0.303607451751721,0.22770558881379,0.116649545851703,0.0773774118517166,0.363742613552117,0.0773774118517166,low,medium,medium,low,mixed_review,-1,review,C_no_service
24358,24358,0,0,0.75,9,877,49,0.247938215477885,0.671360678476815,0.485711880368725,0.468336924774475,50353276.0,953287808.0,60.0,75.9530029296875,620,0.0,-1.0,-1.0,54.3090019226074,-0.284965704741348,-0.284965704741348,291.0,-0.530645161290323,-0.530645161290323,0.605203622010557,9.0,877.0,49.0,0.0,0.0,0.0,0.0,33299070.0,665977216.0,-0.338691091320453,0.338691091320453,0.25401831849034,-0.30138913934374,0.30138913934374,0.226041854507805,0.240030086499072,0.362609332630047,60.0,0.0,0.0,71.4260025024414,-0.0596026523327446,-0.0596026523327446,491.0,-0.208064516129032,-0.208064516129032,0.089222389487259,9.0,877.0,49.0,0.0,0.0,0.0,0.0,50040352.0,1242494848.0,-0.0062145708255407,0.0062145708255407,0.0046609281191555,0.303378515462982,0.303378515462982,0.227533886597236,0.116097407358196,0.0736355465831785,0.362609332630047,0.0736355465831785,low,medium,medium,low,mixed_review,-1,review,C_no_service
