cluster,feature,original_non_null_count,original_structural_null_count,original_structural_null_percent,original_non_null_mean,original_non_null_median,filled_mean,standardized_centroid,inverse_transformed_centroid
1,N_PFlossR_2kiw,82,36,30.508474576271187,1.0,1.0,0.6949152542372882,2.2331170694671196,0.6949152542372881
1,N_PFlossR_2kmw,104,14,11.864406779661017,1.0,1.0,0.8813559322033898,2.9424444572342083,0.8813559322033895
1,PFResident_lossR,93,25,21.1864406779661,-1.0,-1.0,-0.788135593220339,-2.5782332146015117,-0.7881355932203389
1,PFDaynight_lossR,108,10,8.47457627118644,-1.0,-1.0,-0.9152542372881356,-3.5465348955325635,-0.9152542372881355
1,PFAB5k_NOR,117,1,0.847457627118644,0.9999476160900608,1.0,0.9914734837503145,0.8372345926131513,0.9914734837503145
1,PFABC_NOR,118,0,0.0,0.11815730021066408,0.07738029487974415,0.11815730021066408,0.3430669116695012,0.11815730021066403
2,N_PFlossR_2kiw,687,35,4.847645429362881,-0.8416618256515952,-1.0,-0.8008610446297034,-0.5596046046517313,-0.8016967697536749
2,N_PFlossR_2kmw,718,4,0.554016620498615,-0.44235993850180066,-0.472226420624997,-0.43990919092007313,-0.16717966997696773,-0.4394819159369395
2,PFResident_lossR,687,35,4.847645429362881,-0.41920030530054875,-0.428571428571429,-0.39887896086077146,-1.100476539216256,-0.40035306676088434
2,PFDaynight_lossR,710,12,1.662049861495845,-0.27874232846357727,-0.199835886214442,-0.2741094919794181,-0.782699180897069,-0.2750287189129805
2,PFAB5k_NOR,722,0,0.0,0.8742699821799461,0.9597239209363995,0.8742699821799461,0.43996982427456777,0.8746814054524229
2,PFABC_NOR,722,0,0.0,0.18490694115835352,0.129913041429955,0.18490694115835352,0.9585186245475589,0.18413680373324615
3,N_PFlossR_2kiw,894,1232,57.94920037629351,-0.523695323868978,-0.836588618013349,-0.22021807127886467,0.5256447996856579,-0.22011453668964154
3,N_PFlossR_2kmw,1753,373,17.544684854186265,-0.5292176123756598,-0.586206896551724,-0.43636805009150126,-0.16019061350330463,-0.4365132580105928
3,PFResident_lossR,665,1461,68.7206020696143,-0.037927609793350275,0.0,-0.011863527992745971,0.3804679340491469,-0.011734020773961934
3,PFDaynight_lossR,842,1284,60.395108184383815,-0.05170532363680765,0.0,-0.020477837489271893,0.3164620525789157,-0.02041478988903872
3,PFAB5k_NOR,2126,0,0.0,0.8937520350188729,0.9498145328321506,0.8937520350188729,0.5049340194478353,0.893780263377748
3,PFABC_NOR,2126,0,0.0,0.055676942216709206,0.0264743784828559,0.055676942216709206,-0.2375196905577918,0.0559155110251499
4,N_PFlossR_2kiw,1095,39,3.439153439153439,-0.9981735159817352,-1.0,-0.9638447971781305,-0.8622369936381215,-0.9638766519823779
4,N_PFlossR_2kmw,1134,0,0.0,-0.3257479881824671,-0.272,-0.3257479881824671,0.10034039766635162,-0.3258506164534052
4,PFResident_lossR,1022,112,9.876543209876543,-0.05013686695461273,0.0,-0.04518507762576209,0.2531447857587241,-0.04514526698468202
4,PFDaynight_lossR,1071,63,5.555555555555555,-0.03250634153152191,0.0,-0.030700433668659582,0.27217598421443195,-0.030673384828422967
4,PFAB5k_NOR,1072,62,5.467372134038801,0.38016567258437145,0.3996477918054505,0.35938060053831233,-1.3123934931908254,0.35950319159848154
4,PFABC_NOR,1134,0,0.0,0.05982237287444337,0.033188665254284946,0.05982237287444337,-0.19859993254169198,0.06008790385043413
