fid,MS_ID,PF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,kmeans_cluster,distance_to_assigned_centroid
24341,24341,0.689255736526002,0,0,False,2,3.586879192774875
24342,24342,0.875687751701609,1,0,False,1,1.6856095927845653
24343,24343,0.877055327641091,2,0,False,1,1.679642001364236
24344,24344,0.620164373184599,3,0,False,2,1.549734869948507
24345,24345,0.619091387576672,4,0,False,2,1.5483550237828783
24346,24346,0.61710882850759,5,0,False,2,1.5399310835476818
24347,24347,0.604110315008139,6,0,False,2,1.6976497018470917
24348,24348,0.591975527959547,7,0,False,2,1.6827772254493865
24349,24349,0.589142411647597,8,0,False,2,1.5782379077519701
24350,24350,0.583378543337703,9,0,False,2,1.5759804407190365
24351,24351,0.574620137435449,10,0,False,2,3.568315240150959
24352,24352,0.548785565188144,11,0,False,2,3.018736151741916
24353,24353,0.377933038863419,12,0,False,4,0.77462875573275
24354,24354,0.37687297814963,13,0,False,4,0.7718998153148213
24355,24355,0.378680468390722,14,0,False,4,0.7831523808021746
24356,24356,0.384593794912328,15,0,False,4,0.7661967931694557
24357,24357,0.383394834472747,16,0,False,4,0.7425561007282991
24358,24358,0.382611839838303,17,0,False,4,0.7294903652325695
24359,24359,0.382446898263781,18,0,False,4,0.7266475831022141
24360,24360,0.379942676028189,19,0,False,4,0.7165227888947749
24361,24361,0.380015186207396,20,0,False,4,0.7001066449134355
24362,24362,0.390722418334932,21,0,False,4,0.7778598007112013
24363,24363,0.395105645094585,22,0,False,4,0.7883960641665119
24387,24387,0.313879902202506,23,0,False,4,1.456566840833393
24388,24388,0.316293038122735,24,0,False,4,1.4452923716782629
24389,24389,0.312240222636242,25,0,False,4,1.4385391534284646
24986,24986,0.369017302974054,26,0,False,2,3.1227407419915245
24987,24987,0.369742230298405,27,0,False,2,3.112998819396711
24988,24988,0.375180245814308,28,0,False,2,2.9375406280963285
24989,24989,0.535076409686907,29,0,False,2,2.561755279295504
24990,24990,0.533307851809034,30,0,False,2,2.5528906381704317
24996,24996,0.406600851561625,31,1,True,3,0.728773743936238
24997,24997,0.397798719988112,32,1,True,3,0.6938014386670228
24998,24998,0.394411661352711,33,1,True,3,0.6762605699077627
24999,24999,0.392628225859364,34,1,True,3,0.6577997448879669
25000,25000,0.384751548590604,35,1,True,3,0.6353268292464096
25001,25001,0.367017153392623,36,1,True,3,0.5547422246738539
25002,25002,0.364058649859851,37,1,True,3,0.5414627748414452
25003,25003,0.351657460877193,38,1,True,3,0.5024389340091829
25004,25004,0.343695549503565,39,1,True,3,0.4801297276556684
25005,25005,0.329640939676536,40,1,True,3,0.4710248670874069
25006,25006,0.306956997518277,41,1,True,3,0.5072253858675171
25007,25007,0.309498270595886,42,1,True,3,0.5009546004634926
25008,25008,0.309491305665111,43,1,True,3,0.49951719614657153
25009,25009,0.298566591320248,44,1,True,3,0.5468091037442828
25010,25010,0.290950544682178,45,1,True,3,0.5963410767687198
25011,25011,0.284677096471281,46,1,True,3,0.6323742589123897
25012,25012,0.269938454330223,47,1,True,3,0.6518809932678
25013,25013,0.264054172482199,48,1,True,3,0.697203359566423
25014,25014,0.254763527525132,49,1,True,3,0.7330644490698294
25187,25187,0.402218302399864,50,0,False,4,1.8630068996616627
25188,25188,0.40507847538162,51,0,False,4,1.8788511757706479
25189,25189,0.400960421060968,52,0,False,4,2.078583561954967
25190,25190,0.399542318801475,53,0,False,4,2.0794231179382985
25191,25191,0.397677379281799,54,0,False,4,2.077646436897625
25198,25198,0.273846337273973,55,0,False,4,1.5587963841847303
25199,25199,0.269646393046499,56,0,False,4,1.5945038679325285
25200,25200,0.271075468872436,57,0,False,4,1.6013990710448778
25201,25201,0.272130560954833,58,0,False,4,1.6099832197196406
25212,25212,0.279773632258511,59,0,False,4,1.631011154614553
25213,25213,0.283508544859799,60,0,False,4,1.5890218488441663
25214,25214,0.278079143346741,61,0,False,4,1.5764742363951922
25215,25215,0.272004077792421,62,0,False,4,1.5905468822371451
25870,25870,0.270967998868374,63,3,True,3,1.2373107317740302
25871,25871,0.299577923423575,64,3,True,3,1.2279631443469696
25872,25872,0.307334444740294,65,3,True,3,1.2328498378129962
25874,25874,0.31428350937582,66,3,True,3,1.2386488301552003
25875,25875,0.316264779792942,67,3,True,3,1.240355614855839
25876,25876,0.317794691316815,68,3,True,3,1.241632346999983
25877,25877,0.319035927398673,69,3,True,3,1.2426058013523766
25878,25878,0.320079374883787,70,3,True,3,1.2433686929779981
25879,25879,0.320976751018688,71,3,True,3,1.2439615855715676
25880,25880,0.321762250975052,72,3,True,3,1.244411390434064
25881,25881,0.322450843015839,73,3,True,3,1.244743872494413
25882,25882,0.322988944104281,74,3,True,3,1.2448734419695417
25883,25883,0.32347881807355,75,3,True,3,1.2450923075334834
25884,25884,0.323975965333778,76,3,True,3,1.2451785429475561
25885,25885,0.325451388052116,77,3,True,3,1.2466357768149527
25886,25886,0.326079619287057,78,3,True,3,1.246961215728449
25887,25887,0.326608466741454,79,3,True,3,1.2471678094583973
25888,25888,0.327063822902128,80,3,True,3,1.2472899799155341
25889,25889,0.327450231234624,81,3,True,3,1.2473284132429128
25890,25890,0.327792985167844,82,3,True,3,1.2473291727962488
25891,25891,0.328129544629861,83,3,True,3,1.2473227308518162
25892,25892,0.328451317154032,84,3,True,3,1.2472713796621349
25893,25893,0.328749935669244,85,3,True,3,1.2471603654375416
25894,25894,0.329033660646053,86,3,True,3,1.2470198102889631
25895,25895,0.340449975044331,87,3,True,3,1.249083406414763
25896,25896,0.340185545025047,88,3,True,3,1.243804205527935
25897,25897,0.340245770219272,89,3,True,3,1.2434322489755938
25898,25898,0.340281598876261,90,3,True,3,1.2429671634535329
25899,25899,0.340324646755866,91,3,True,3,1.2425708854179436
25900,25900,0.340342411989137,92,3,True,3,1.2420470589830934
25901,25901,0.340368792218626,93,3,True,3,1.241583556985782
25902,25902,0.340395792917347,94,3,True,3,1.2411338992873182
25903,25903,0.340437858304644,95,3,True,3,1.2407220231105287
25904,25904,0.340472779317595,96,3,True,3,1.240218023225951
25905,25905,0.340508028694015,97,3,True,3,1.2397136717473516
25906,25906,0.340537137436192,98,3,True,3,1.23920366415643
25907,25907,0.340557293424865,99,3,True,3,1.2387245599360004
25908,25908,0.350334423939796,100,3,True,3,1.2556077252248898
25909,25909,0.350732940844312,101,3,True,3,1.255771832218616
25910,25910,0.583333333333333,102,3,True,3,3.4579590171624757
26337,26337,0.519134623454474,103,3,True,3,1.6883965267817176
26338,26338,0.522571562497059,104,3,True,3,1.6805771251734436
26339,26339,0.522869032567975,105,3,True,3,1.679877896436331
26340,26340,0.523453754703102,106,3,True,3,1.6781185444307483
26341,26341,0.524451099861073,107,3,True,3,1.6763114426886692
26342,26342,0.525475484064987,108,3,True,3,1.6744013309010926
26343,26343,0.583333333333333,109,3,True,3,3.5434203745808803
26344,26344,0.583333333333333,110,3,True,3,3.5403516959526242
26345,26345,0.583333333333333,111,3,True,3,3.540255856110055
26432,26432,0.430918786377289,112,0,False,2,2.2607654257132936
26433,26433,0.416607222736679,113,0,False,3,2.0426209879356594
26434,26434,0.414663465497278,114,0,False,3,2.045600342325316
26435,26435,0.413150466993693,115,0,False,3,2.042479033239731
26436,26436,0.410231076255682,116,0,False,3,2.000150181917358
26437,26437,0.343588039627676,117,0,False,3,1.1890028528850562
26438,26438,0.344852137812593,118,0,False,3,1.1887131666354562
26439,26439,0.361985361877103,119,0,False,3,1.176589039763948
26440,26440,0.363755177414462,120,0,False,3,1.1765929930318058
26441,26441,0.368903699741674,121,0,False,3,1.190386916956504
26442,26442,0.373817129841901,122,0,False,3,1.5058570396694335
26443,26443,0.38041714385087,123,0,False,3,1.568759981036846
26444,26444,0.385440221847051,124,0,False,3,1.5706735015864655
26445,26445,0.388817892468354,125,0,False,3,1.569530826907714
26446,26446,0.407034053376412,126,0,False,3,1.5415666416427392
26762,26762,0.404452198931778,127,1,True,3,2.2065568433368075
26763,26763,0.397882010350234,128,1,True,3,2.175974745762659
26764,26764,0.383554938790747,129,2,True,3,2.150942244035155
26765,26765,0.362648945339554,130,1,True,3,2.134509564478873
26766,26766,0.34511839935728,131,1,True,3,2.11866155354413
26767,26767,0.315981017703224,132,1,True,3,2.1139432108692393
26768,26768,0.297363722738335,133,1,True,3,2.1327707660009105
26769,26769,0.288526703206852,134,1,True,3,2.1524706585923035
26770,26770,0.267089343862813,135,1,True,3,1.630744777103024
26771,26771,0.267062852168632,136,1,True,3,1.6147709168876458
26772,26772,0.262394014632564,137,1,True,3,1.6269237194768043
