cluster,feature,original_non_null_count,original_structural_null_count,original_structural_null_percent,original_non_null_mean,original_non_null_median,filled_mean,standardized_centroid,inverse_transformed_centroid
1,N_TFlossR_2kiw,1465,536,26.786606696651678,0.9848250734907347,1.0,0.7210238544047608,1.475407717928376,0.7213843663319652
1,N_TFlossR_2kmw,2001,0,0.0,0.9576863662660119,1.0,0.9576863662660119,1.8576430971479123,0.9585120302583883
1,TFResident_lossR,1701,300,14.992503748125937,-0.9972703759363829,-1.0,-0.847754577445171,-1.7969747838342403,-0.8476784547338939
1,TFDaynight_lossR,1991,10,0.49975012493753124,-0.9980986091173485,-1.0,-0.9931106100712848,-1.9552956918742301,-0.99310716537632
1,TFAB5k_NOR,1946,55,2.7486256871564216,0.9996761137113206,1.0,0.9721987592614842,0.7465172240760468,0.9721957254995307
1,TFABC_NOR,2001,0,0.0,0.10888288437311054,0.0693168407594269,0.10888288437311054,0.17896653003832236,0.10884332569157473
2,N_TFlossR_2kiw,1587,270,14.539579967689823,-0.6039816439732902,-1.0,-0.516165249857626,-0.44152681155918977,-0.5158874429416631
2,N_TFlossR_2kmw,1857,0,0.0,-0.6645497312139114,-0.698457223001403,-0.6645497312139114,-0.45787432983185783,-0.6645653888496937
2,TFResident_lossR,1532,325,17.501346257404414,-0.35744558016857103,-0.153177620858229,-0.29488779150148126,-0.29283355258981936,-0.29526729215191067
2,TFDaynight_lossR,1686,171,9.208400646203554,-0.4050269844867322,-0.292566294739893,-0.3677304770299571,-0.3539182008431577,-0.36807077279043643
2,TFAB5k_NOR,1857,0,0.0,0.9033709525277545,0.974104316445462,0.9033709525277545,0.4894362067438091,0.9034112621782606
2,TFABC_NOR,1857,0,0.0,0.2639282662616896,0.245381081911437,0.2639282662616896,1.5198366866987085,0.2638874008048451
3,N_TFlossR_2kiw,3752,3103,45.26622902990518,-0.37674206239358204,-0.345303878319584,-0.20620513757851494,0.03822470963854943,-0.20623522295020688
3,N_TFlossR_2kmw,6499,356,5.193289569657185,-0.5119156672324101,-0.684210526315789,-0.4853304042805884,-0.20214820044077042,-0.4853124489864984
3,TFResident_lossR,3399,3456,50.41575492341357,-0.07550888004992864,0.0,-0.0374405081385423,0.4091791982977609,-0.03744597071632563
3,TFDaynight_lossR,3616,3239,47.25018234865062,-0.09699117415071941,0.0,-0.05116266750240721,0.4579986072673697,-0.05117013214604865
3,TFAB5k_NOR,6855,0,0.0,0.8453243768834929,0.890546415159029,0.8453243768834929,0.27251633302159933,0.84537229355843
3,TFABC_NOR,6855,0,0.0,0.05375818792322578,0.0347586003050276,0.05375818792322578,-0.29737662242961743,0.053764030247432065
4,N_TFlossR_2kiw,2524,347,12.086381051898293,-0.8745465803820367,-1.0,-0.7688455482007178,-0.8330260375495818,-0.7685778443190354
4,N_TFlossR_2kmw,2870,1,0.034831069313827935,-0.7048752986285083,-0.791666666666667,-0.704629783024667,-0.5149832603228451,-0.7045962754365578
4,TFResident_lossR,1357,1514,52.734238941135494,-0.03639384891709259,0.0,-0.01720182966927713,0.46431757773243426,-0.017195840174265592
4,TFDaynight_lossR,1372,1499,52.21177290142808,-0.07477490939552552,0.0,-0.03573360351468513,0.4975797168190963,-0.035721161452181294
4,TFAB5k_NOR,2487,384,13.375130616509928,0.4324249375061396,0.458262930603399,0.374587537296332,-1.486850232176929,0.37463709020356306
4,TFABC_NOR,2871,0,0.0,0.042118190091866216,0.0148610677627155,0.042118190091866216,-0.39817905774033685,0.04210830036614259
