fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,N_TFlossR_2kiw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR,kmeans_cluster,distance_to_assigned_centroid
24364,24364,0.379226754946849,0,1,True,,-0.276898734177215,-0.466666666666667,-0.33306342780027,1.0,0.191911273293973,2,1.2993669715522065
24365,24365,0.375457948071803,1,1,True,,-0.279527559055118,-0.466666666666667,-0.33306342780027,0.999437335871969,0.191690161737669,2,1.2981104360191125
24366,24366,0.355719907598789,2,1,True,,-0.288461538461538,-0.12962962962963,-0.0279352226720648,0.9980466185174,0.190096573441303,3,1.4011660088134752
24367,24367,0.350387416345715,3,1,True,,-0.298884758364312,-0.0421052631578947,0.0,0.992136678324579,0.219511024725272,2,1.5914480670872864
24368,24368,0.322033156939953,4,1,True,,-0.303254437869822,-0.0068649885583524,-0.151419769622288,0.890838050747868,0.226346361107599,2,1.3917338558800318
24398,24398,0.541070611388722,5,0,False,-1.0,-0.904109589041096,0.0,0.0,0.560695824329123,0.0710458275389411,4,0.87540820509145
24399,24399,0.527506334480146,6,0,False,-1.0,-0.900662251655629,0.0,0.0,0.559286774882007,0.0724567392306609,4,0.8732260697589622
24400,24400,0.526295113161306,7,0,False,-1.0,-0.894039735099338,0.0,0.0,0.559020834776827,0.0723501930332795,4,0.8691800385599432
24401,24401,0.526094105430093,8,1,True,-1.0,-0.895424836601307,,0.0,0.557668517084901,0.0713684506842088,4,0.8632706768297952
24402,24402,0.521733371800992,9,1,True,-1.0,-0.897590361445783,,0.0,0.554409835347847,0.0693495465485523,4,0.8496360159327604
24403,24403,0.522948153243719,10,0,False,-1.0,-0.898876404494382,0.0,0.0,0.549743434732618,0.0671748854871104,4,0.8314172727842173
24404,24404,0.598167448800109,11,0,False,-1.0,-0.906735751295337,0.0,-0.957383177570094,0.545438308626839,0.0656619891601456,4,2.497775698089434
24405,24405,0.62284044972954,12,0,False,-1.0,-0.897058823529412,-0.917647058823529,-0.936038011695906,0.542386490840645,0.0650407636405277,2,3.231091105542641
24406,24406,0.595304384223138,13,0,False,-1.0,-0.89622641509434,-0.331864904552129,-0.936038011695906,0.537809480383209,0.0633105370773366,4,2.5814016335770074
24407,24407,0.619408874351377,14,0,False,-1.0,-0.895454545454546,-0.492753623188406,-0.940958164642375,0.53295333690407,0.0621296432556798,4,2.7637840933871995
24408,24408,0.541991678492843,15,0,False,-0.556859917445102,-0.895454545454546,-0.492753623188406,-0.940958164642375,0.527265617568618,0.0624569006843093,2,2.750835320546819
24409,24409,0.594705906435689,16,0,False,-1.0,-0.899563318777293,-0.492753623188406,-0.936038011695906,0.523159624928793,0.0619642582192304,4,2.746078124225005
24410,24410,0.589339225063267,17,0,False,-1.0,-0.903930131004367,-0.917647058823529,-0.657509627727856,0.5200960469341,0.0627813778486278,4,3.0143214720837324
24411,24411,0.555925488262495,18,0,False,-1.0,-0.90295358649789,0.0,-0.667970787689098,0.517467601472048,0.06367225674071,4,1.7760963375700476
24412,24412,0.340828555475408,19,0,False,-0.152695113390105,-0.901234567901235,0.0,0.0,0.515217077899386,0.0647685398223203,4,1.1463997645217388
24413,24413,0.335334716445688,20,1,True,-0.152695113390105,-0.888030888030888,,0.0,0.513028233394026,0.065907400017419,4,1.1399326638783844
24414,24414,0.331570695539299,21,1,True,-0.152695113390105,-0.889312977099237,,0.0,0.510710184441041,0.0672973080664954,4,1.1386889254116215
24415,24415,0.333833486625669,22,0,False,-0.152695113390105,-0.882142857142857,0.0,0.0,0.509364492083841,0.0695851512218317,4,1.1380893993084418
24416,24416,0.308504285944028,23,0,False,0.0,-0.883959044368601,0.0,0.0,0.508231604870627,0.0716101072380798,4,1.3447663022756515
24417,24417,0.306102050092542,24,0,False,0.0,-0.887043189368771,0.0,0.0,0.508759054931321,0.0742012642786904,4,1.3507690897253812
