fid,MS_ID,kmeans_cluster,distance_to_assigned_centroid
24398,24398,3,0.27093150358314694
24399,24399,3,0.2702196147512673
24400,24400,3,0.26843794412600863
24403,24403,3,0.2722959477729474
24404,24404,1,0.797245160806355
24405,24405,1,0.5396822406971873
24406,24406,1,0.5625769619870398
24407,24407,1,0.497824614321502
24408,24408,1,0.5827521177949881
24409,24409,1,0.5048865790788342
24410,24410,1,0.5439259241804623
24411,24411,3,0.6764375317752338
24412,24412,4,0.5381147237955684
24415,24415,4,0.5257220666005769
24416,24416,4,0.5182741574231373
24417,24417,4,0.52050429765404
24418,24418,4,0.5199508115925868
24419,24419,3,0.2791033274499634
24458,24458,4,0.8644444531501275
24459,24459,4,0.8855027345439765
24460,24460,4,0.88449980408958
24461,24461,4,0.902410878844616
24462,24462,4,0.9038308795210185
24463,24463,4,0.9642036376329607
24581,24581,4,0.21059801035511272
24582,24582,4,0.21123746617379838
24583,24583,4,0.20979626062669143
24584,24584,4,0.20883077319711058
24585,24585,4,0.20969888305992931
24586,24586,4,0.2078888553935833
24587,24587,4,0.20514954503932545
24588,24588,4,0.22245236553242534
24589,24589,4,0.2229982211377445
24590,24590,4,0.21533111010604444
24591,24591,4,0.24413081788610047
24592,24592,4,0.24417298258242137
24614,24614,1,0.8733587771038742
24615,24615,1,0.8733590832456501
24983,24983,3,0.5479331591013742
24984,24984,3,0.5592193219442596
24985,24985,3,0.567636697730517
24986,24986,2,0.3723225610572823
24987,24987,2,0.3684399986949595
24988,24988,2,0.2965904648472328
24989,24989,2,0.2799276201071847
24990,24990,2,0.2727198423608307
25029,25029,4,1.2952621110884859
25030,25030,4,1.2955688180296026
25031,25031,4,1.2942735383299995
25032,25032,4,1.0175026168914212
25033,25033,4,0.2432986146914416
25034,25034,4,0.24044698338929457
25035,25035,4,0.18438422420303052
25036,25036,4,0.18021229195051766
25037,25037,4,0.18027368201464636
25038,25038,4,0.16407560455478631
25039,25039,4,0.18241255498309975
25040,25040,4,0.18192550902102292
25041,25041,4,0.18440606676774235
25042,25042,4,0.18577060501846474
25043,25043,4,0.19790090129517612
25044,25044,4,0.20447801259833048
25045,25045,4,0.2117608350406786
25046,25046,4,0.2159648041953718
25118,25118,4,0.5363853507866199
25195,25195,2,0.5282416086674372
25196,25196,2,0.4933727109699629
25197,25197,2,0.45446324913301084
25212,25212,1,0.47191205317953894
25213,25213,1,1.0551298985739288
25215,25215,1,0.3093614792186032
25519,25519,4,0.2048505351903563
25520,25520,4,0.20706704214484006
25521,25521,4,0.2525823654128908
25522,25522,4,0.25355873756120817
25523,25523,4,0.2542729839807698
25524,25524,4,0.25402585858832766
25525,25525,4,0.25438256991497643
25526,25526,4,0.2545636702560222
25527,25527,4,0.2554690416737647
25528,25528,4,0.256709966977387
25529,25529,4,0.25636994868711654
25683,25683,4,0.5354845963698373
26078,26078,1,0.76514006496886
26079,26079,1,0.7651363564765666
26080,26080,1,0.7651331825161265
26081,26081,1,0.7651287983610587
26082,26082,1,0.8733534508631037
26083,26083,1,0.8733459327981336
26084,26084,1,0.8733360968240416
26085,26085,1,0.8733155072999803
26347,26347,4,0.611280967374574
26348,26348,4,0.6132346700523503
26349,26349,4,0.614625398252199
26350,26350,4,0.6219436212811847
26351,26351,4,0.6247908377494414
