fid,MS_ID,PF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR,kmeans_cluster,distance_to_assigned_centroid
24341,24341,0.689255736526002,0,0,False,-0.833333333333333,-0.716794252457981,-0.582655826558266,0.0,-1.0,1.0,0.255599579199857,3,3.813173702805781
24342,24342,0.875687751701609,1,0,False,1.0,1.0,1.0,-1.0,-1.0,1.0,0.255974313968601,4,3.1799270784189417
24343,24343,0.877055327641091,2,0,False,1.0,1.0,1.0,-1.0,-1.0,1.0,0.255134391256299,4,3.1763887829170576
24344,24344,0.620164373184599,3,0,False,-1.0,-0.486218832341312,-0.621287128712871,-0.425587467362924,0.0,1.0,0.258482933978164,3,2.1704907170406154
24345,24345,0.619091387576672,4,0,False,-1.0,-0.486218832341312,-0.617866004962779,-0.425587467362924,0.0,0.99866803433983,0.258975749450925,3,2.1708185068286348
24346,24346,0.61710882850759,5,0,False,-1.0,-0.486218832341312,-0.605839416058394,-0.425587467362924,0.0,0.997906644822111,0.258909868217093,3,2.165021149251887
24347,24347,0.604110315008139,6,0,False,-1.0,-0.476350517130379,-0.600961538461538,-0.20844327176781,0.0,0.995990722422503,0.258857475068589,3,2.4673562376287137
24348,24348,0.591975527959547,7,0,False,-1.0,-0.438156338973604,-0.567567567567568,-0.205194805194805,0.0,0.991428286921121,0.258674765647939,3,2.4573840998581042
24349,24349,0.589142411647597,8,0,False,-1.0,-0.442587944125367,-0.546610169491525,-0.285714285714286,0.0,0.979497130706098,0.26455291676158,3,2.330570509802174
24350,24350,0.583378543337703,9,0,False,-1.0,-0.434963795576291,-0.526639344262295,-0.285714285714286,0.0,0.976451850489939,0.266086383323182,3,2.332954763835005
24351,24351,0.574620137435449,10,0,False,-1.0,-0.445917319058196,-0.550537634408602,-0.642795513373598,0.0,0.854459632931461,0.527521112263055,3,4.130251485866236
