Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Per_extent,0.42880969288311627,-0.13918352866728476,0.31224087238063397,-0.03415262249481775,0.006433242085499919,-0.15234826452197126,-0.48602539480265416,-0.25052644111794187,-0.42317261811425033,-0.443597567067679
N_PFlossR_2kiw,0.2269470141497343,0.28931358499333315,0.388725051534275,-0.09271797494094014,0.7910198057059605,0.07855883782858335,0.08560306953032715,0.16105220733588022,0.00996577578385995,0.19959978464800834
N_PFlossR_2ktw,0.3639651630309061,-0.3991212273286105,0.2494314284079233,0.15928408171197292,-0.1327981075929673,-0.04634041242992288,-0.1031695982541673,-0.3216462597838095,0.38478023903573416,0.5819839034178359
N_PFlossR_2kmw,0.3791200904507521,-0.18764573291944805,0.34397852663218537,0.023853492292051064,-0.2923422916936793,-0.02204585880649844,0.5961093379202723,0.4378334174910549,0.03116647338209719,-0.2611531951962547
PFResident_lossR,-0.3259172783058899,0.03046864000504434,0.4701673551272826,0.15826231442504649,-0.135942184349363,0.6886634681581976,0.1296449152891559,-0.32301556564995654,-0.17803561815741814,-0.034118862478498775
PFDaynight_lossR,-0.3923389004861691,-0.009529513178133895,0.29560416350623603,0.15920129594131044,0.09291103822816602,-0.6740466693746059,0.3550467188121163,-0.35358021798041134,-0.13849479457274114,-0.004814218791376594
PFPRM_lossR,-0.3546469896255467,0.08079475216312589,0.46242107713397707,0.14574480685844532,-0.1935518999588068,-0.1638220238925074,-0.49617353533699493,0.5305469229615656,0.19253326839485657,0.05988031318370311
PFAB2k_NOR,0.23792375083416076,0.5637793017330253,0.00018510779181500487,0.06352051346814308,-0.38428080140499177,-0.09172941511731227,0.034669278513945426,0.04204300642346112,-0.4857482378875989,0.47592368509178135
PFAB5k_NOR,0.1880102790121196,0.6127444279245701,0.061595576168802874,0.1243914872690183,-0.1483456967994977,-0.044350617137140724,-0.003759921175499017,-0.29872824789513025,0.5810369918261238,-0.34510727601304786
PFABC_NOR,0.1026287901410636,-0.03958715778380922,-0.21164768486136476,0.9344275833146194,0.19207725245020796,0.046581738485712586,-0.013815631940666175,0.11958271934258742,-0.101471926163735,-0.07809966636656016
