fid,MS_ID,PF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
24341,24341,0.689255736526002,0,0,False,2.666244058180324,1.1839665945235824,-3.8018622768028214,0.47127961551499636,-0.1471089927886677,3.548398620841808,0.505999229028075,-0.8536729191873947,-0.8319983402838597,-0.5241865217376112
24342,24342,0.875687751701609,1,0,False,9.824055129631367,-1.107965786961301,-0.3390917095449279,0.18840211464514373,1.425987303935412,0.15797586246374368,-0.3141500158738076,-0.104629158333517,-0.3536871110142701,-0.2526129505934857
24343,24343,0.877055327641091,2,0,False,9.823251060340551,-1.1076556321027973,-0.33743350619248286,0.18108112291171471,1.4244824297188574,0.15761090692468202,-0.31404177406990996,-0.10556605715307302,-0.35289210544520855,-0.2520010604673135
24344,24344,0.620164373184599,3,0,False,0.07572488070052699,1.1309148979661838,-1.2860873218679052,1.6829325775144715,-0.6609736695133237,-1.2395072210601885,-0.4716747395447747,0.17028400528574428,-0.08168390948307197,0.07984684076204873
24345,24345,0.619091387576672,4,0,False,0.07647322738734048,1.1218836017655753,-1.2845703175832701,1.686342660842595,-0.6586637886997255,-1.2385274828782928,-0.46720050542702846,0.17537339530402654,-0.08060136956279147,0.07509702351562177
24346,24346,0.61710882850759,5,0,False,0.08555592391151197,1.1123974203609384,-1.274861233004904,1.6858275210372577,-0.6648955814767301,-1.2386406974314745,-0.45046458951202956,0.18827569021536938,-0.07891208530880477,0.06644072564526787
24347,24347,0.604110315008139,6,0,False,-0.1744889057768194,1.1146160949114996,-0.8757395904192143,1.8191456306111595,-0.7787834696722754,-0.6688821188956052,-0.3393662666144221,-0.08086187537599204,-0.21403161210122354,0.04688321405658243
24348,24348,0.591975527959547,7,0,False,-0.12230127594221916,1.035192067689687,-0.8186571144168713,1.8335159010907156,-0.8038561933394527,-0.663506543778486,-0.30205716419652845,-0.07919670378921384,-0.17064910821993373,0.07591153070314494
24349,24349,0.589142411647597,8,0,False,-0.027262571902976523,0.9527645515563623,-0.9629506675270155,1.8258161395841987,-0.7302698821505534,-0.8642821740176765,-0.3143850173423997,0.060827911639890694,-0.11240769785455203,0.04155949510323821
24350,24350,0.583378543337703,9,0,False,-0.007176001456285888,0.9184658085021609,-0.9454924583057677,1.8409807724751373,-0.7351193048102491,-0.8633830129769133,-0.28921967190437153,0.07903655627012432,-0.1016064038123376,0.03432016726770688
