Component,Eigenvalue,Explained Variance Ratio,Cumulative Explained Variance
PC1,3.3884453771437553,0.33876189270517676,0.33876189270517676
PC2,1.9432842169226696,0.19428102451624438,0.5330429172214212
PC3,1.447818785909154,0.1447465659376005,0.6777894831590217
PC4,0.98935225931563,0.09891109538865281,0.7767005785476745
PC5,0.6657687699344872,0.06656063873076735,0.8432612172784418
PC6,0.5022405005890357,0.0502118002905965,0.8934730175690383
PC7,0.4290908989978467,0.04289862426810177,0.9363716418371401
PC8,0.27796237250113287,0.02778945768005227,0.9641610995171923
PC9,0.21467060495477397,0.021461824627063857,0.9856229241442561
PC10,0.14380583315088966,0.014377075855743816,0.9999999999999999
