Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Tem_extent,0.38243170484752914,-0.23175858148229334,0.1654388889207464,0.04211029234593064,-0.2683931315390995,-0.09937614670312878,0.08422425022140938,-0.03554006913678852,0.6923418884794879,-0.4486491339276834
N_TFlossR_2kiw,0.30563696230849796,-0.1888494001901494,0.2383163219300345,0.24382549901060882,0.8452691405163602,-0.10951001215538662,0.010936959126836275,-0.16362678453929072,0.018554014215483194,0.031087815040063176
N_TFlossR_2ktw,0.3535344078407935,-0.3623853625080346,0.15455796278972617,0.19684137271067692,-0.26500677873201756,0.10623224335880958,-0.025322136823698223,0.2943824217394802,0.028632711473153504,0.7151361033596724
N_TFlossR_2kmw,0.3773135849050195,-0.2285770249999444,0.19580470583021234,0.11758778804240054,-0.24587105024915692,0.20078386631319375,-0.06993676465594333,-0.1359738006881272,-0.6743758993317477,-0.41748175782951286
TFResident_lossR,-0.3371648540241628,-0.07057015424235964,0.45023936996202,0.17837859211266308,-0.12709663993349904,-0.3678871265200513,-0.6987031600242641,-0.08125838349762873,0.02284202386395926,-0.00014014590539329467
TFDaynight_lossR,-0.35196833883063894,-0.045542437207122456,0.3370919721917151,0.15374522889096648,0.06924400146485818,0.8271251239056515,-0.002846987115738979,-0.06581778290466599,0.20417273205750808,-0.04264140028711177
TFPRM_lossR,-0.3317765352767245,-0.06343209822118603,0.48413882383998164,0.15289686299755795,-0.11763325524897367,-0.32256041908249233,0.7011399838281844,0.027941068429430487,-0.13343797056066983,0.008146728012967442
TFAB2k_NOR,0.28638469251667537,0.4765034869616468,0.3081573710741907,-0.23814475614615216,-0.14929021399438255,0.03165823919752123,0.038760749227639196,-0.6474815077498537,0.04838310076965464,0.3047768191248811
TFAB5k_NOR,0.24088011102926046,0.5463367839327536,0.3940071129614449,-0.13976081250900613,0.10348297809984565,0.04240296900449777,-0.07189968354699637,0.6583354568522244,-0.030790576075740043,-0.12918306584179748
TFABC_NOR,0.07282156158121304,0.4363896317894606,-0.2294955313438952,0.8550569908286978,-0.12256376216566876,-0.014494823219648291,0.028122031841212983,-0.04959645952432227,0.037587679827282075,-0.02397886820292992
