Component,Eigenvalue,Explained Variance Ratio,Cumulative Explained Variance
PC1,5.42980620241185,0.5429406481696125,0.5429406481696125
PC2,1.4214929058379706,0.14213882611894255,0.6850794742885551
PC3,1.1207404660984917,0.11206579616472181,0.7971452704532769
PC4,0.8673032049873115,0.08672393575782282,0.8838692062110997
PC5,0.4478680416848585,0.044783507142266143,0.9286527133533657
PC6,0.24753820897950635,0.02475199862020491,0.9534047119735707
PC7,0.16222865276772408,0.01622167101401646,0.9696263829875872
PC8,0.1447277301068947,0.014471707582758763,0.9840980905703459
PC9,0.10547604889131652,0.010546828416451357,0.9946449189867973
PC10,0.05355475261970495,0.005355081013202682,1.0
