fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,PC1,PC2,PC3,PC4,PC5,PC6,PC7
24364,24364,0.379226754946849,0,1,True,0.8417493588399212,1.1877442524113915,0.021878294960948542,0.19720665358183379,0.28624896310568454,0.31134901221634287,0.07897213841379856
24365,24365,0.375457948071803,1,1,True,0.8559638111962824,1.1749420771566645,0.02691191366720057,0.1872369776957077,0.2741030914779957,0.31223482178685774,0.05090491350253589
24366,24366,0.355719907598789,2,1,True,0.13617847487158657,0.957130797804623,0.9490663631476887,0.11168941047223734,0.09939395434325266,0.2796849392323517,0.08701672629255701
24367,24367,0.350387416345715,3,1,True,0.021513835074070106,1.110313098896997,1.1626247688879487,-0.06444464710713102,0.05148262952167205,0.17112877423540748,0.09093598233335756
24368,24368,0.322033156939953,4,1,True,0.03823873888296326,1.0307106168481692,0.8967447592137668,-0.3620163355168396,0.11045624551046766,-0.19408768214231434,0.15567690043649368
24398,24398,0.541070611388722,5,0,False,-1.8190509829529302,-0.04732105875540056,-0.4696766942329034,-0.24400999470188656,-0.3593478103144821,0.04851000584414575,-0.06069583017487851
24399,24399,0.527506334480146,6,0,False,-1.7663337159414878,-0.07493908540015785,-0.44748055890132626,-0.28558484265507145,-0.40348545939944547,0.05281932926994406,-0.13397546479551217
24400,24400,0.526295113161306,7,0,False,-1.7622689366788178,-0.07813038142237662,-0.4461871782680281,-0.2869025407517428,-0.40702009925655336,0.053765305823574715,-0.1270766322986256
24401,24401,0.526094105430093,8,1,True,-1.7653782843249752,-0.0865826907349515,-0.44992702644670646,-0.2856478919332879,-0.4050455560098472,0.053421920518522945,-0.12799888967919706
24402,24402,0.521733371800992,9,1,True,-1.7568544583416068,-0.11494867439053774,-0.45193065298112794,-0.29338633532055014,-0.4136350491571811,0.05394895572174115,-0.15186240393795566
24403,24403,0.522948153243719,10,0,False,-1.7770964308724857,-0.12830449825179188,-0.4671303910297305,-0.2880457096085474,-0.3983961261041041,0.052191207305185845,-0.1316834888344858
24404,24404,0.598167448800109,11,0,False,-0.7539796978570218,0.13040041814805117,-1.7315359277714921,-0.14482339203707992,-0.35243308381064975,-1.7589748320641023,-0.08981520501846202
24405,24405,0.62284044972954,12,0,False,0.2358882372359932,0.4588637409129094,-3.1587225984586627,-0.045057938380003354,0.1276738890784931,-0.06499785854046838,-0.19950826571645414
24406,24406,0.595304384223138,13,0,False,-0.41987126018064735,0.22177996503672756,-2.2420414111996103,-0.11675296953677743,-0.1738380969358893,-1.1207981959823676,-0.11197755106978514
