scenario,feature,theoretical_group,data_type,count,missing_count,missing_percentage,filled_zero_count,unique_count,min,max,mean,median,standard_deviation,first_quartile,third_quartile
PF,Per_extent,extent,int64,4100,0,0.0,3921,2,0.0,1.0,0.04365853658536585,0.0,0.20435913187805396,0.0,0.0
PF,N_PFlossR_2kiw,network_loss,float64,2758,1342,32.73170731707317,1774,13,-1.0,1.0,-0.7459772638729196,-1.0,0.49484223446581926,-1.0,-1.0
PF,N_PFlossR_2ktw,network_loss,float64,4082,18,0.4390243902439025,27,1097,-1.0,1.0,-0.3640685484985354,-0.341302532599574,0.3839813780913198,-0.545949392024192,-0.210769273812622
PF,N_PFlossR_2kmw,network_loss,float64,3709,391,9.536585365853659,532,2126,-1.0,1.0,-0.4073149444426374,-0.428,0.4285637319452307,-0.687165775401069,-0.18348623853211
PF,PFResident_lossR,population_exposure,float64,2467,1633,39.829268292682926,3103,440,-1.0,0.0,-0.18542859679029963,0.0,0.3174712917762492,-0.263264680421296,0.0
PF,PFDaynight_lossR,population_exposure,float64,2731,1369,33.390243902439025,3160,250,-1.0,0.0,-0.1407020239808099,0.0,0.2719813807748184,-0.174282842341297,0.0
PF,PFPRM_lossR,other_scenario_indicator,float64,2259,1841,44.90243902439025,3426,137,-1.0,0.0,-0.1500937272308339,0.0,0.2931934742161116,-0.164835164835165,0.0
PF,PFAB2k_NOR,other_scenario_indicator,float64,4037,63,1.5365853658536586,65,3767,0.0,1.0,0.6109044143772084,0.712456794168093,0.3264540241845925,0.286272361881902,0.910903958772472
PF,PFAB5k_NOR,accessibility,float64,4037,63,1.5365853658536586,66,3711,0.0,1.0,0.7569658721023107,0.900185956025069,0.281059080555156,0.566885404084856,0.979102964190027
PF,PFABC_NOR,accessibility,float64,4100,0,0.0,63,4038,0.0,0.630473198717947,0.0813788104715932,0.03930314255897255,0.10721808046824598,0.014433869367240901,0.10755187667727575
