,Per_extent,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFPRM_lossR,PFAB2k_NOR,PFAB5k_NOR,PFABC_NOR
Per_extent,1.0,0.38494243857147603,0.7188059259511519,0.6156150578004611,-0.3139908082629892,-0.42369402169803705,-0.2760389414942857,0.20008563634887674,0.12463647008394095,0.038577195228224184
N_PFlossR_2kiw,0.38494243857147603,1.0,0.10881305200518422,0.256625095752916,-0.038874791602716396,-0.1361548118885022,-0.08113461480295907,0.30391487664923666,0.4101833332838358,-0.042776932713779275
N_PFlossR_2ktw,0.7188059259511519,0.10881305200518422,1.0,0.682456597423446,-0.22921946602146248,-0.33302462807278027,-0.2936368542137487,-0.10321817955631718,-0.14136487734557418,0.1849864802121155
N_PFlossR_2kmw,0.6156150578004611,0.256625095752916,0.682456597423446,1.0,-0.17908836144257584,-0.3130662080063468,-0.2750710908894861,0.17028190568809548,0.06057780254181293,0.038286888011549725
PFResident_lossR,-0.3139908082629892,-0.038874791602716396,-0.22921946602146248,-0.17908836144257584,1.0,0.4740205631193668,0.6118540691333311,-0.20181342808796982,-0.10573220757321172,-0.12193153981968738
PFDaynight_lossR,-0.42369402169803705,-0.1361548118885022,-0.33302462807278027,-0.3130662080063468,0.4740205631193668,1.0,0.6006820621669169,-0.2940400854638419,-0.19770019862858706,-0.09375862974215193
PFPRM_lossR,-0.2760389414942857,-0.08113461480295907,-0.2936368542137487,-0.2750710908894861,0.6118540691333311,0.6006820621669169,1.0,-0.14817007516652428,-0.06998058538540894,-0.14934277198010568
PFAB2k_NOR,0.20008563634887674,0.30391487664923666,-0.10321817955631718,0.17028190568809548,-0.20181342808796982,-0.2940400854638419,-0.14817007516652428,1.0,0.7827696259120831,0.05316142517369777
PFAB5k_NOR,0.12463647008394095,0.4101833332838358,-0.14136487734557418,0.06057780254181293,-0.10573220757321172,-0.19770019862858706,-0.06998058538540894,0.7827696259120831,1.0,0.0756512752010132
PFABC_NOR,0.038577195228224184,-0.042776932713779275,0.1849864802121155,0.038286888011549725,-0.12193153981968738,-0.09375862974215193,-0.14934277198010568,0.05316142517369777,0.0756512752010132,1.0
