scenario,feature_1,group_1,feature_2,group_2,pearson_r,absolute_r,pairwise_n,same_group,correlation_direction,threshold_exceeded
TF,N_TFlossR_2ktw,accessibility_loss,N_TFlossR_2kmw,accessibility_loss,0.9392984568218856,0.9392984568218856,3709,True,positive,True
TF,TFResident_lossR,population_loss,TFPRM_lossR,population_loss,0.9162603455912554,0.9162603455912554,2181,True,positive,True
TF,N_TFlossR_2kiw,accessibility_loss,N_TFlossR_2ktw,accessibility_loss,0.8971255858473949,0.8971255858473949,2758,True,positive,True
TF,TFAB2k_NOR,centrality_influence,TFAB5k_NOR,centrality_influence,0.8785679142035554,0.8785679142035554,4037,True,positive,True
TF,TFResident_lossR,population_loss,TFDaynight_lossR,population_loss,0.8364185315150502,0.8364185315150502,2401,True,positive,True
TF,N_TFlossR_2kiw,accessibility_loss,N_TFlossR_2kmw,accessibility_loss,0.8334118504756269,0.8334118504756269,2758,True,positive,True
TF,TFDaynight_lossR,population_loss,TFPRM_lossR,population_loss,0.8179037989109423,0.8179037989109423,2257,True,positive,True
TF,Tem_extent,flood_exposure,N_TFlossR_2ktw,accessibility_loss,0.7841753069041124,0.7841753069041124,4082,False,positive,True
TF,Tem_extent,flood_exposure,TFDaynight_lossR,population_loss,-0.7765720106847239,0.7765720106847239,2731,False,negative,True
TF,Tem_extent,flood_exposure,N_TFlossR_2kmw,accessibility_loss,0.7351931904012269,0.7351931904012269,3709,False,positive,True
TF,Tem_extent,flood_exposure,TFResident_lossR,population_loss,-0.7131018258271498,0.7131018258271498,2467,False,negative,True
TF,Tem_extent,flood_exposure,TFPRM_lossR,population_loss,-0.6884634126765053,0.6884634126765053,2259,False,negative,True
TF,TFDaynight_lossR,population_loss,TFAB2k_NOR,centrality_influence,-0.6350601835374511,0.6350601835374511,2690,False,negative,True
TF,Tem_extent,flood_exposure,N_TFlossR_2kiw,accessibility_loss,0.6240234494389025,0.6240234494389025,2758,False,positive,True
TF,TFResident_lossR,population_loss,TFAB2k_NOR,centrality_influence,-0.5906401156557434,0.5906401156557434,2431,False,negative,False
TF,TFPRM_lossR,population_loss,TFAB2k_NOR,centrality_influence,-0.5532139227359539,0.5532139227359539,2232,False,negative,False
TF,TFDaynight_lossR,population_loss,TFAB5k_NOR,centrality_influence,-0.5302889037114443,0.5302889037114443,2690,False,negative,False
TF,TFResident_lossR,population_loss,TFAB5k_NOR,centrality_influence,-0.49071020190828113,0.49071020190828113,2431,False,negative,False
TF,Tem_extent,flood_exposure,TFAB2k_NOR,centrality_influence,0.4743201161045429,0.4743201161045429,4037,False,positive,False
TF,TFAB5k_NOR,centrality_influence,TFABC_NOR,centrality_influence,-0.45857550893544685,0.45857550893544685,3613,True,negative,False
TF,TFPRM_lossR,population_loss,TFAB5k_NOR,centrality_influence,-0.45582608799969776,0.45582608799969776,2232,False,negative,False
TF,TFAB2k_NOR,centrality_influence,TFABC_NOR,centrality_influence,-0.4283383188769578,0.4283383188769578,3613,True,negative,False
TF,N_TFlossR_2ktw,accessibility_loss,TFDaynight_lossR,population_loss,-0.4267505997528498,0.4267505997528498,2717,False,negative,False
TF,N_TFlossR_2kmw,accessibility_loss,TFDaynight_lossR,population_loss,-0.42261184641942673,0.42261184641942673,2662,False,negative,False
TF,N_TFlossR_2kiw,accessibility_loss,TFABC_NOR,centrality_influence,0.3971908935421864,0.3971908935421864,2501,False,positive,False
TF,N_TFlossR_2kiw,accessibility_loss,TFDaynight_lossR,population_loss,-0.3628348378478182,0.3628348378478182,2495,False,negative,False
TF,Tem_extent,flood_exposure,TFAB5k_NOR,centrality_influence,0.357377977347907,0.357377977347907,4037,False,positive,False
TF,N_TFlossR_2ktw,accessibility_loss,TFABC_NOR,centrality_influence,0.3337273883669268,0.3337273883669268,3651,False,positive,False
TF,N_TFlossR_2ktw,accessibility_loss,TFResident_lossR,population_loss,-0.3203628840013295,0.3203628840013295,2452,False,negative,False
TF,N_TFlossR_2ktw,accessibility_loss,TFPRM_lossR,population_loss,-0.3188997680353351,0.3188997680353351,2248,False,negative,False
TF,N_TFlossR_2kmw,accessibility_loss,TFResident_lossR,population_loss,-0.31819090858557186,0.31819090858557186,2423,False,negative,False
TF,N_TFlossR_2kmw,accessibility_loss,TFPRM_lossR,population_loss,-0.31727581881086314,0.31727581881086314,2245,False,negative,False
TF,N_TFlossR_2kmw,accessibility_loss,TFABC_NOR,centrality_influence,0.30265914544669653,0.30265914544669653,3331,False,positive,False
TF,N_TFlossR_2kiw,accessibility_loss,TFResident_lossR,population_loss,-0.2862858080978849,0.2862858080978849,2248,False,negative,False
TF,N_TFlossR_2kiw,accessibility_loss,TFPRM_lossR,population_loss,-0.2692091604285662,0.2692091604285662,2135,False,negative,False
TF,TFDaynight_lossR,population_loss,TFABC_NOR,centrality_influence,0.22150878352892162,0.22150878352892162,2452,False,positive,False
TF,N_TFlossR_2kiw,accessibility_loss,TFAB5k_NOR,centrality_influence,-0.22040632340434554,0.22040632340434554,2720,False,negative,False
TF,TFResident_lossR,population_loss,TFABC_NOR,centrality_influence,0.20270805361030478,0.20270805361030478,2283,False,positive,False
TF,N_TFlossR_2kiw,accessibility_loss,TFAB2k_NOR,centrality_influence,-0.18561165599906426,0.18561165599906426,2720,False,negative,False
TF,TFPRM_lossR,population_loss,TFABC_NOR,centrality_influence,0.1785107333001951,0.1785107333001951,2084,False,positive,False
TF,N_TFlossR_2kmw,accessibility_loss,TFAB5k_NOR,centrality_influence,-0.08834258244585246,0.08834258244585246,3646,False,negative,False
TF,N_TFlossR_2ktw,accessibility_loss,TFAB5k_NOR,centrality_influence,-0.055426806351659134,0.055426806351659134,4019,False,negative,False
TF,N_TFlossR_2kmw,accessibility_loss,TFAB2k_NOR,centrality_influence,0.043434205621239876,0.043434205621239876,3646,False,positive,False
TF,N_TFlossR_2ktw,accessibility_loss,TFAB2k_NOR,centrality_influence,0.036851955481478134,0.036851955481478134,4019,False,positive,False
TF,Tem_extent,flood_exposure,TFABC_NOR,centrality_influence,-0.010046359965441188,0.010046359965441188,3666,False,negative,False
