scenario,feature,theoretical_group,data_type,count,missing_count,missing_percentage,unique_count,min,max,mean,median,standard_deviation,first_quartile,third_quartile
TF,Tem_extent,flood_exposure,int64,116959,0,0.0,2,0.0,1.0,0.024829213656067512,0.0,0.1556050475594988,0.0,0.0
TF,N_TFlossR_2kiw,accessibility_loss,float64,44861,72098,61.643823904103144,22,-1.0,1.0,-0.07148654760967509,0.0,0.372076077057986,0.0,0.0
TF,N_TFlossR_2ktw,accessibility_loss,float64,112437,4522,3.8663121264716693,6859,-1.0,1.0,-0.04615891330513893,0.0,0.23849324804662952,-6.87382354510026e-08,0.0
TF,N_TFlossR_2kmw,accessibility_loss,float64,94324,22635,19.352935644114606,8507,-1.0,1.0,-0.06934621206667133,0.0,0.30078511577387845,0.0,0.0
TF,TFResident_lossR,population_loss,float64,60864,56095,47.96125137868826,1245,-1.0,0.0,-0.04304636227050021,0.0,0.19149560935149346,0.0,0.0
TF,TFDaynight_lossR,population_loss,float64,58054,58905,50.36380270009148,661,-1.0,0.0,-0.05652454934512798,0.0,0.21465240322084334,0.0,0.0
TF,TFPRM_lossR,population_loss,float64,52778,64181,54.87478518113185,318,-1.0,0.0,-0.05101595043446999,0.0,0.2094979620879558,0.0,0.0
TF,TFAB2k_NOR,centrality_influence,float64,107946,9013,7.706119238365582,80615,0.0,1.0,0.10060624287030334,1.21467630216651e-07,0.2469900035160457,6.382788631841797e-08,0.023567450116573074
TF,TFAB5k_NOR,centrality_influence,float64,107947,9012,7.705264237895331,93800,0.0,1.0,0.18610766570897921,0.0118653580764038,0.29677811369144874,1.76750500293476e-07,0.27211905704231654
TF,TFABC_NOR,centrality_influence,float64,114237,2722,2.327311280021204,104898,0.0,0.802090824353198,0.0415466073628315,0.0122978752490946,0.06938816715690677,0.0023176724674833,0.0500407301275411
