scenario,feature_1,group_1,feature_2,group_2,pearson_r,absolute_r,pairwise_n,same_group,correlation_direction,threshold_exceeded
TF,N_TFlossR_2ktw,accessibility_loss,N_TFlossR_2kmw,accessibility_loss,0.9392984568218856,0.9392984568218856,3709,True,positive,True
TF,TFResident_lossR,population_loss,TFPRM_lossR,population_loss,0.9162603455912554,0.9162603455912554,2181,True,positive,True
TF,N_TFlossR_2kiw,accessibility_loss,N_TFlossR_2ktw,accessibility_loss,0.8971255858473949,0.8971255858473949,2758,True,positive,True
TF,TFAB2k_NOR,centrality_influence,TFAB5k_NOR,centrality_influence,0.8785679142035554,0.8785679142035554,4037,True,positive,True
TF,TFResident_lossR,population_loss,TFDaynight_lossR,population_loss,0.8364185315150502,0.8364185315150502,2401,True,positive,True
TF,N_TFlossR_2kiw,accessibility_loss,N_TFlossR_2kmw,accessibility_loss,0.8334118504756269,0.8334118504756269,2758,True,positive,True
TF,TFDaynight_lossR,population_loss,TFPRM_lossR,population_loss,0.8179037989109423,0.8179037989109423,2257,True,positive,True
TF,Tem_extent,flood_exposure,N_TFlossR_2ktw,accessibility_loss,0.7841753069041124,0.7841753069041124,4082,False,positive,True
TF,Tem_extent,flood_exposure,TFDaynight_lossR,population_loss,-0.7765720106847239,0.7765720106847239,2731,False,negative,True
TF,Tem_extent,flood_exposure,N_TFlossR_2kmw,accessibility_loss,0.7351931904012269,0.7351931904012269,3709,False,positive,True
TF,Tem_extent,flood_exposure,TFResident_lossR,population_loss,-0.7131018258271498,0.7131018258271498,2467,False,negative,True
TF,Tem_extent,flood_exposure,TFPRM_lossR,population_loss,-0.6884634126765053,0.6884634126765053,2259,False,negative,True
TF,TFDaynight_lossR,population_loss,TFAB2k_NOR,centrality_influence,-0.6350601835374511,0.6350601835374511,2690,False,negative,True
TF,Tem_extent,flood_exposure,N_TFlossR_2kiw,accessibility_loss,0.6240234494389025,0.6240234494389025,2758,False,positive,True
