scenario,feature_1,group_1,feature_2,group_2,pearson_r,absolute_r,pairwise_n,same_group,correlation_direction,threshold_exceeded
TF,Tem_extent,flood_exposure,N_TFlossR_2ktw,accessibility_loss,0.9021586128597646,0.9021586128597646,13577,False,positive,True
TF,Tem_extent,flood_exposure,N_TFlossR_2kmw,accessibility_loss,0.9007487975203999,0.9007487975203999,13227,False,positive,True
TF,Tem_extent,flood_exposure,TFDaynight_lossR,population_loss,-0.8135040686973882,0.8135040686973882,8665,False,negative,True
TF,Tem_extent,flood_exposure,N_TFlossR_2kiw,accessibility_loss,0.8131153235783704,0.8131153235783704,9328,False,positive,True
TF,Tem_extent,flood_exposure,TFResident_lossR,population_loss,-0.8038928924585987,0.8038928924585987,7989,False,negative,True
TF,Tem_extent,flood_exposure,TFPRM_lossR,population_loss,-0.7877707446219199,0.7877707446219199,7668,False,negative,True
TF,N_TFlossR_2kmw,accessibility_loss,TFPRM_lossR,population_loss,-0.7212710541492523,0.7212710541492523,7659,False,negative,True
TF,N_TFlossR_2kmw,accessibility_loss,TFResident_lossR,population_loss,-0.7212224107430336,0.7212224107430336,7977,False,negative,True
TF,N_TFlossR_2kmw,accessibility_loss,TFDaynight_lossR,population_loss,-0.7007189091028073,0.7007189091028073,8610,False,negative,True
TF,N_TFlossR_2ktw,accessibility_loss,TFPRM_lossR,population_loss,-0.6932601302602369,0.6932601302602369,7667,False,negative,True
TF,N_TFlossR_2ktw,accessibility_loss,TFResident_lossR,population_loss,-0.6926894542096307,0.6926894542096307,7989,False,negative,True
TF,N_TFlossR_2ktw,accessibility_loss,TFDaynight_lossR,population_loss,-0.6923071478467204,0.6923071478467204,8658,False,negative,True
TF,TFResident_lossR,population_loss,TFAB2k_NOR,centrality_influence,-0.6799707458281999,0.6799707458281999,7789,False,negative,True
TF,TFDaynight_lossR,population_loss,TFAB2k_NOR,centrality_influence,-0.6598194354592608,0.6598194354592608,8460,False,negative,True
TF,TFPRM_lossR,population_loss,TFAB2k_NOR,centrality_influence,-0.6516917514024366,0.6516917514024366,7494,False,negative,True
TF,N_TFlossR_2kiw,accessibility_loss,TFResident_lossR,population_loss,-0.6342851418395385,0.6342851418395385,6249,False,negative,True
TF,N_TFlossR_2kiw,accessibility_loss,TFPRM_lossR,population_loss,-0.6127074670839789,0.6127074670839789,6198,False,negative,True
TF,N_TFlossR_2kiw,accessibility_loss,TFDaynight_lossR,population_loss,-0.6108467694949646,0.6108467694949646,6736,False,negative,True
