,Tem_extent,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TFAB2k_NOR,TFAB5k_NOR,TFABC_NOR
Tem_extent,1.0,0.6526113070038162,0.9015799256518625,0.8844843884446991,-0.5699766053041634,-0.6601400682762656,-0.5510846832569625,0.5033444983745932,0.3711351454654577,0.015176148518767881
N_TFlossR_2kiw,0.6526113070038162,1.0,0.6578755073196216,0.6672056274189649,-0.42000293428764895,-0.4436295090153449,-0.4073527638683795,0.33790286616417314,0.350776749207884,0.07847268363843311
N_TFlossR_2ktw,0.9015799256518625,0.6578755073196216,1.0,0.9069017627680698,-0.4975145034916749,-0.5577838568727068,-0.4905106187578326,0.319614131560611,0.23747386804725718,0.032346464999052964
N_TFlossR_2kmw,0.8844843884446991,0.6672056274189649,0.9069017627680698,1.0,-0.5471820967893332,-0.5953542907841799,-0.5395118274762889,0.4952617223049322,0.37181803285194065,0.05553224323898625
TFResident_lossR,-0.5699766053041634,-0.42000293428764895,-0.4975145034916749,-0.5471820967893332,1.0,0.7650818448793129,0.8375957947737627,-0.44445953320246795,-0.32799365504250394,-0.1548186856269703
TFDaynight_lossR,-0.6601400682762656,-0.4436295090153449,-0.5577838568727068,-0.5953542907841799,0.7650818448793129,1.0,0.7682336208537812,-0.48511551266315006,-0.36019130350458095,-0.14554138790621285
TFPRM_lossR,-0.5510846832569625,-0.4073527638683795,-0.4905106187578326,-0.5395118274762889,0.8375957947737627,0.7682336208537812,1.0,-0.4166473531525824,-0.3019054280528308,-0.17158495409971905
TFAB2k_NOR,0.5033444983745932,0.33790286616417314,0.319614131560611,0.4952617223049322,-0.44445953320246795,-0.48511551266315006,-0.4166473531525824,1.0,0.8385157718217429,0.16565316550481785
TFAB5k_NOR,0.3711351454654577,0.350776749207884,0.23747386804725718,0.37181803285194065,-0.32799365504250394,-0.36019130350458095,-0.3019054280528308,0.8385157718217429,1.0,0.2183072442467138
TFABC_NOR,0.015176148518767881,0.07847268363843311,0.032346464999052964,0.05553224323898625,-0.1548186856269703,-0.14554138790621285,-0.17158495409971905,0.16565316550481785,0.2183072442467138,1.0
