flood_scenario,version_name,min_cluster_size,min_samples,number_of_clusters,noise_count,noise_percentage,largest_cluster_size
PF,version_A_normalized,50,10,310,26497,22.654947460221102,27127
PF,version_A_normalized,50,20,255,28011,23.949418172179996,27047
PF,version_A_normalized,50,40,186,30464,26.04673432570388,26346
PF,version_A_normalized,100,10,153,32444,27.73963525679939,17947
PF,version_A_normalized,100,20,117,24083,20.590976325036976,27047
PF,version_A_normalized,100,40,112,35368,30.239656631811147,18050
PF,version_A_normalized,200,10,68,24239,20.72435639839602,23621
PF,version_A_normalized,200,20,66,26757,22.87724758248617,22678
PF,version_A_normalized,200,40,63,29274,25.02928376610607,21475
PF,version_B_standardized,50,10,326,30642,26.198924409408423,21721
PF,version_B_standardized,50,20,256,32189,27.521610136885577,23363
PF,version_B_standardized,50,40,187,34031,29.09652100308655,23907
PF,version_B_standardized,100,10,150,26894,22.994382646910456,25407
PF,version_B_standardized,100,20,130,35417,30.281551654853413,18077
PF,version_B_standardized,100,40,115,39908,34.12135876674732,16412
PF,version_B_standardized,200,10,69,27869,23.828008105404457,21721
PF,version_B_standardized,200,20,67,30866,26.39044451474448,21384
PF,version_B_standardized,200,40,62,34520,29.514616233038925,20127
