hdbscan_cluster,sample_count
-1,24239
0,2800
1,1558
2,216
3,3506
4,227
5,883
6,4279
7,482
8,2269
9,1642
10,533
11,7525
12,728
13,269
14,358
15,3992
16,1759
17,407
18,202
19,267
20,549
21,212
22,230
23,285
24,213
25,720
26,367
27,622
28,240
29,1245
30,315
31,224
32,444
33,588
34,1042
35,1025
36,242
37,373
38,425
39,635
40,437
41,225
42,1556
43,442
44,237
45,570
46,479
47,276
48,219
49,893
50,312
51,310
52,208
53,266
54,227
55,367
56,678
57,23621
58,1643
59,2674
60,2098
61,1604
62,2089
63,1711
64,2094
65,1673
66,1707
67,206
