hdbscan_cluster,sample_count
-1,34031
0,167
1,68
2,59
3,1187
4,99
5,98
6,107
7,50
8,66
9,115
10,111
11,163
12,74
13,220
14,252
15,122
16,259
17,83
18,70
19,85
20,84
21,52
22,97
23,53
24,78
25,3103
26,123
27,101
28,56
29,3907
30,158
31,544
32,73
33,71
34,76
35,114
36,92
37,121
38,63
39,200
40,617
41,64
42,60
43,2945
44,52
45,217
46,50
47,83
48,253
49,55
50,154
51,101
52,111
53,59
54,112
55,90
56,68
57,91
58,91
59,92
60,97
61,57
62,55
63,221
64,57
65,216
66,195
67,73
68,105
69,53
70,52
71,65
72,54
73,82
74,191
75,152
76,65
77,67
78,64
79,279
80,70
81,194
82,273
83,207
84,116
85,192
86,135
87,103
88,185
89,121
90,56
91,66
92,52
93,3913
94,71
95,157
96,132
97,227
98,57
99,73
100,489
101,66
102,56
103,239
104,361
105,23907
106,125
107,102
108,438
109,77
110,97
111,176
112,265
113,50
114,170
115,210
116,196
117,59
118,72
119,256
120,868
121,65
122,111
123,74
124,103
125,52
126,52
127,80
128,376
129,72
130,196
131,120
132,59
133,357
134,101
135,352
136,99
137,580
138,113
139,95
140,73
141,67
142,188
143,67
144,218
145,1544
146,100
147,135
148,439
149,104
150,229
151,1075
152,237
153,81
154,78
155,172
156,730
157,146
158,78
159,145
160,252
161,235
162,55
163,119
164,129
165,77
166,891
167,186
168,108
169,139
170,64
171,129
172,79
173,2545
174,145
175,130
176,1536
177,1615
178,2005
179,1584
180,1992
181,1524
182,1698
183,165
184,158
185,1484
186,56
