street_id,cluster_id_version_a,cluster_id_version_b,is_conflict
1228,13,11,True
1229,14,10,True
1230,-1,10,True
1234,14,10,True
1235,10,12,True
1236,14,10,True
1237,-1,10,True
1238,13,12,True
1239,-1,10,True
1241,13,11,True
1242,12,11,True
1243,10,12,True
1244,13,11,True
1245,13,10,True
1246,10,12,True
1248,-1,10,True
1249,10,12,True
1250,13,10,True
1251,10,12,True
1252,10,12,True
1253,12,11,True
1427,2,4,True
1428,2,4,True
1429,2,4,True
1430,2,4,True
1431,2,4,True
1432,2,4,True
1433,2,4,True
1434,2,4,True
1435,2,4,True
1436,2,4,True
1437,2,4,True
2068,12,11,True
2069,10,12,True
2070,10,12,True
2071,13,11,True
2072,-1,10,True
2074,10,12,True
2075,13,11,True
2076,10,12,True
2078,10,12,True
2079,13,11,True
2080,13,11,True
2081,13,10,True
2082,10,12,True
2083,10,12,True
2084,13,11,True
2085,-1,10,True
2086,10,12,True
2087,10,12,True
2088,10,12,True
2089,13,12,True
2090,10,12,True
2091,10,12,True
2092,10,12,True
2093,12,11,True
2094,12,11,True
2095,13,12,True
2096,10,12,True
2097,10,12,True
2098,13,10,True
2099,10,12,True
2100,13,12,True
2101,13,11,True
2102,10,12,True
2103,13,11,True
2106,10,12,True
2107,13,12,True
2108,10,12,True
2109,13,11,True
2111,13,11,True
2112,13,10,True
2113,14,10,True
2115,12,11,True
2116,10,12,True
2118,13,10,True
2119,14,10,True
2120,10,12,True
2123,13,11,True
2124,13,11,True
2125,12,11,True
2126,13,11,True
2127,13,12,True
2128,12,11,True
2129,12,11,True
2130,13,10,True
2131,13,10,True
2132,14,10,True
2133,10,12,True
2134,13,12,True
2135,12,11,True
2136,10,12,True
2137,10,12,True
2138,14,10,True
2139,12,11,True
2141,13,11,True
2142,13,11,True
2143,13,12,True
2144,13,11,True
2145,13,12,True
2147,12,11,True
2148,14,10,True
2150,10,12,True
2151,13,11,True
2152,14,10,True
2153,10,12,True
2166,12,11,True
2167,13,12,True
2169,14,10,True
2170,13,10,True
2171,12,11,True
2185,2,4,True
2186,2,4,True
2187,2,4,True
2188,2,4,True
2189,2,4,True
2190,2,4,True
2191,2,4,True
2192,2,4,True
2193,2,4,True
2194,2,4,True
2195,2,4,True
2196,2,4,True
2197,2,4,True
2198,2,4,True
2199,2,4,True
2200,2,4,True
2201,2,4,True
2202,2,4,True
2203,2,4,True
2204,2,4,True
2205,2,4,True
2206,2,4,True
2207,2,4,True
2208,2,4,True
2209,2,4,True
2210,2,4,True
2211,2,4,True
2212,2,4,True
2213,2,4,True
2214,2,4,True
2215,2,4,True
2216,2,4,True
2217,2,4,True
2218,2,4,True
2219,2,4,True
2220,2,4,True
2221,2,4,True
2222,2,4,True
2223,2,4,True
2224,2,4,True
2225,2,4,True
2226,2,4,True
2227,2,4,True
2228,2,4,True
2229,2,4,True
2230,2,4,True
2231,2,4,True
2232,2,4,True
2233,2,4,True
2251,13,11,True
3308,4,2,True
3317,10,12,True
3318,14,10,True
3319,-1,10,True
3320,13,10,True
3321,10,12,True
3323,13,12,True
3324,4,2,True
3325,4,2,True
3392,-1,10,True
3394,10,12,True
3395,12,11,True
3396,10,12,True
3397,13,10,True
3398,4,2,True
3399,4,2,True
3400,4,2,True
3407,4,2,True
3443,14,10,True
3444,13,11,True
3445,-1,12,True
3446,13,12,True
3447,12,11,True
3448,10,12,True
3449,13,12,True
3450,4,2,True
3451,14,10,True
3452,12,11,True
3454,14,10,True
3456,13,11,True
3458,10,12,True
3539,10,12,True
3540,13,10,True
3541,13,11,True
3543,4,2,True
3558,14,10,True
3559,12,11,True
3560,10,12,True
3561,13,10,True
3562,14,10,True
3564,10,12,True
3565,14,10,True
3566,14,10,True
3567,12,11,True
3569,14,10,True
3570,13,11,True
3571,-1,10,True
3572,10,12,True
3573,12,11,True
3574,13,10,True
3575,4,2,True
3579,4,2,True
3580,14,10,True
3581,13,12,True
3660,10,12,True
3661,13,11,True
3662,4,2,True
3663,13,12,True
3664,-1,10,True
3665,10,12,True
3666,10,12,True
3667,2,4,True
3668,2,4,True
3669,2,4,True
3731,12,11,True
3732,4,2,True
3734,-1,10,True
3735,4,2,True
3748,4,2,True
3749,13,11,True
3751,10,12,True
3752,13,12,True
3753,4,2,True
3757,10,12,True
3758,13,11,True
3759,10,12,True
3761,13,10,True
3762,12,11,True
3763,4,2,True
3764,12,11,True
3765,13,12,True
3766,4,2,True
3944,4,2,True
3945,10,12,True
3946,10,12,True
3947,4,2,True
4009,12,11,True
4105,4,2,True
4122,14,10,True
4123,13,10,True
4124,10,12,True
4197,10,12,True
4198,13,10,True
4245,4,2,True
4246,4,2,True
4247,13,11,True
4248,4,2,True
4251,10,12,True
4252,14,10,True
4253,12,11,True
4254,13,11,True
4255,13,12,True
4256,14,10,True
4385,12,11,True
4386,10,12,True
4388,14,10,True
4390,14,10,True
4391,10,12,True
4399,4,2,True
4400,4,2,True
4566,4,2,True
4567,4,2,True
4568,12,11,True
4569,10,12,True
4570,-1,10,True
4572,14,10,True
4576,4,2,True
4577,4,2,True
4652,13,12,True
4653,12,11,True
4654,4,2,True
4656,14,10,True
4658,13,11,True
4659,-1,12,True
4660,13,11,True
4662,10,12,True
4663,13,11,True
4664,13,11,True
4665,10,12,True
4666,12,11,True
4669,14,10,True
4670,13,11,True
4701,13,11,True
4704,4,2,True
4706,13,10,True
4707,12,11,True
4708,10,12,True
4709,4,2,True
4824,4,2,True
4848,4,2,True
4891,4,2,True
4903,4,2,True
4909,4,2,True
4916,4,2,True
4917,4,2,True
4975,10,12,True
5014,13,10,True
5015,10,12,True
5016,13,11,True
5017,13,10,True
5018,13,11,True
5019,13,11,True
5021,4,2,True
5138,13,10,True
5140,10,12,True
5141,10,12,True
5142,13,11,True
5143,12,11,True
5144,13,10,True
5145,-1,10,True
5146,10,12,True
5147,14,10,True
5148,4,2,True
5258,12,11,True
5261,4,2,True
5296,14,10,True
5297,13,12,True
5298,12,11,True
5299,14,10,True
5300,10,12,True
5301,10,12,True
5302,10,12,True
5303,4,2,True
5304,-1,11,True
5306,-1,10,True
5307,13,12,True
5309,13,12,True
5310,10,12,True
5311,14,10,True
5312,4,2,True
5313,4,2,True
5314,12,11,True
5315,13,11,True
5316,4,2,True
5317,4,2,True
5351,12,11,True
5352,14,10,True
5353,12,11,True
5354,4,2,True
5434,4,2,True
5436,4,2,True
5622,-1,10,True
5623,4,2,True
5719,4,2,True
5720,12,11,True
5727,4,2,True
5857,13,12,True
5858,-1,10,True
5859,13,11,True
5861,-1,10,True
5862,10,12,True
5863,-1,11,True
5864,4,2,True
5874,10,12,True
5994,4,2,True
5995,12,11,True
5996,13,12,True
6000,4,2,True
6006,-1,10,True
6007,13,10,True
6008,12,11,True
6009,4,2,True
6064,13,12,True
6065,10,12,True
6066,10,12,True
6068,13,10,True
6069,12,11,True
6070,10,12,True
6097,4,2,True
6099,13,11,True
6100,14,10,True
6101,12,11,True
6102,14,10,True
6103,13,12,True
6104,10,12,True
6106,-1,10,True
6107,13,11,True
6108,13,11,True
6109,10,12,True
6110,2,4,True
6111,2,4,True
6112,10,12,True
6113,10,12,True
6114,4,2,True
6115,13,12,True
6116,13,12,True
6117,-1,10,True
6118,12,11,True
6119,4,2,True
6120,14,10,True
6121,10,12,True
6122,13,10,True
6123,10,-1,True
6124,10,12,True
6125,4,2,True
6126,4,2,True
6127,13,12,True
6129,4,2,True
6220,12,11,True
6264,13,10,True
6279,4,2,True
6285,4,2,True
6415,13,10,True
6416,13,12,True
6417,4,2,True
6432,4,2,True
6434,4,2,True
6596,2,4,True
6597,2,4,True
6598,2,4,True
6599,2,4,True
6600,2,4,True
6601,2,4,True
6602,2,4,True
6603,2,4,True
6604,2,4,True
6605,2,4,True
6606,2,4,True
6607,2,4,True
6608,2,4,True
6609,2,4,True
6610,2,4,True
6611,2,4,True
6612,2,4,True
6613,2,4,True
6614,2,4,True
6615,2,4,True
6616,2,4,True
6617,2,4,True
6618,2,4,True
6619,2,4,True
6649,-1,10,True
6651,13,11,True
6652,13,10,True
6653,10,12,True
6654,10,12,True
6655,13,11,True
6657,13,10,True
6658,14,10,True
6661,13,12,True
6662,13,11,True
6663,10,12,True
6664,13,12,True
6665,13,11,True
6666,4,2,True
6667,4,2,True
6669,10,12,True
6670,-1,10,True
6671,10,12,True
6672,14,10,True
6673,4,2,True
6676,4,2,True
6696,14,10,True
6697,14,10,True
6698,13,12,True
6797,4,2,True
6798,4,2,True
6799,13,11,True
6809,14,10,True
6810,12,11,True
6811,12,11,True
6814,13,12,True
6887,13,10,True
6888,12,11,True
6889,10,12,True
6890,10,12,True
6892,14,10,True
6895,13,11,True
6896,14,10,True
6898,-1,10,True
6899,10,12,True
6953,4,2,True
6954,14,10,True
6955,12,11,True
6956,10,12,True
6957,10,12,True
6970,4,2,True
6975,4,2,True
6980,4,2,True
7108,4,2,True
7110,13,11,True
7112,4,2,True
7113,13,12,True
7114,4,2,True
7120,12,11,True
7122,13,10,True
7124,-1,10,True
7125,10,12,True
7126,13,10,True
7127,13,11,True
7130,4,2,True
7226,13,10,True
7227,13,10,True
7228,4,2,True
7271,4,2,True
7272,4,2,True
7274,4,2,True
7276,-1,10,True
7277,4,2,True
7278,-1,10,True
7279,-1,10,True
7280,-1,10,True
7281,-1,10,True
7282,-1,10,True
7285,2,4,True
7286,2,4,True
7287,2,4,True
7288,2,4,True
7289,2,4,True
7290,2,4,True
7291,2,4,True
7292,2,4,True
7293,2,4,True
7294,4,2,True
7422,13,10,True
7429,13,10,True
7431,4,2,True
7470,14,10,True
7523,13,12,True
7524,10,12,True
7525,4,2,True
7526,4,2,True
7527,13,11,True
7528,10,12,True
7529,-1,10,True
7530,13,12,True
7531,13,12,True
7532,13,12,True
7533,12,11,True
7534,13,11,True
7535,13,11,True
7536,12,11,True
7537,14,10,True
7538,10,12,True
7667,10,12,True
7668,12,11,True
7669,10,12,True
7670,14,10,True
7672,-1,10,True
7687,14,10,True
7688,13,11,True
7690,12,11,True
7691,12,11,True
7692,4,2,True
7699,14,10,True
7700,10,12,True
7701,-1,10,True
7702,13,11,True
7703,10,12,True
