street_id,cluster_id_version_a,cluster_id_version_b,is_conflict
142,0,0,False
143,0,0,False
144,0,0,False
145,0,0,False
146,0,0,False
147,0,0,False
148,0,0,False
149,0,0,False
150,0,0,False
151,0,0,False
152,0,0,False
153,0,0,False
154,0,0,False
155,0,0,False
156,0,0,False
157,0,0,False
158,0,0,False
159,0,0,False
160,0,0,False
161,0,0,False
162,0,0,False
163,0,0,False
164,0,0,False
165,0,0,False
166,0,0,False
167,0,0,False
168,0,0,False
169,0,0,False
170,0,0,False
171,0,0,False
172,0,0,False
173,0,0,False
174,0,0,False
175,0,0,False
176,0,0,False
177,0,0,False
178,0,0,False
179,0,0,False
180,0,0,False
181,0,0,False
182,0,0,False
183,0,0,False
184,0,0,False
185,0,0,False
186,0,0,False
187,0,0,False
188,0,0,False
189,0,0,False
190,0,0,False
191,0,0,False
192,0,0,False
193,0,0,False
194,0,0,False
195,0,0,False
196,0,0,False
197,0,0,False
198,0,0,False
199,0,0,False
200,0,0,False
201,0,0,False
202,0,0,False
203,0,0,False
204,0,0,False
205,0,0,False
206,0,0,False
207,0,0,False
208,0,0,False
209,0,0,False
210,0,0,False
211,0,0,False
212,0,0,False
213,0,0,False
214,0,0,False
215,0,0,False
216,0,0,False
217,0,0,False
218,0,0,False
219,0,0,False
220,0,0,False
221,0,0,False
222,0,0,False
223,0,0,False
224,0,0,False
225,0,0,False
226,0,0,False
227,0,0,False
228,0,0,False
229,0,0,False
230,0,0,False
231,0,0,False
232,0,0,False
233,0,0,False
1226,4,4,False
1227,4,4,False
1228,9,10,True
1229,10,8,True
1230,-1,8,True
1231,-1,8,True
1232,10,8,True
1233,10,10,False
1234,-1,8,True
1235,9,9,False
1236,-1,8,True
1237,8,9,True
1238,10,9,True
1239,-1,8,True
1240,8,9,True
1241,9,9,False
1242,-1,8,True
1243,-1,8,True
1244,10,9,True
1245,9,9,False
1246,10,10,False
1247,-1,8,True
1248,8,9,True
1249,-1,-1,False
1250,10,8,True
1251,10,9,True
1252,9,9,False
1253,9,9,False
1254,10,10,False
1255,4,4,False
1256,4,4,False
1257,4,4,False
1258,4,4,False
1259,4,4,False
1260,4,4,False
1261,4,4,False
1262,4,4,False
1263,4,4,False
1264,4,4,False
1265,4,4,False
1266,4,4,False
1267,4,4,False
1427,1,1,False
1428,1,1,False
1429,1,1,False
1430,1,1,False
1431,1,1,False
1432,1,1,False
1433,1,1,False
1434,1,1,False
1435,1,1,False
1436,1,1,False
1437,1,1,False
2068,8,10,True
2069,10,10,False
2070,8,9,True
2071,-1,8,True
2072,-1,8,True
2073,-1,8,True
2074,-1,-1,False
2075,10,8,True
2076,-1,-1,False
2077,-1,8,True
2078,9,10,True
2079,-1,8,True
2080,-1,8,True
2081,-1,8,True
2082,8,10,True
2083,8,10,True
2084,9,9,False
2085,8,10,True
2086,9,10,True
2087,9,9,False
2088,8,9,True
2089,9,10,True
2090,10,10,False
2091,8,10,True
2092,8,9,True
2093,-1,8,True
2094,-1,8,True
2095,10,10,False
2096,9,10,True
2097,10,8,True
2098,9,10,True
2099,10,10,False
2100,9,10,True
2101,-1,8,True
2102,-1,8,True
2103,10,8,True
2104,-1,8,True
2105,10,9,True
2106,9,9,False
2107,10,9,True
2108,8,9,True
2109,10,9,True
2110,9,10,True
2111,10,9,True
2112,10,8,True
2113,8,9,True
2114,10,9,True
2115,8,10,True
2116,8,10,True
2117,10,10,False
2118,-1,8,True
2119,8,9,True
2120,9,10,True
2121,9,9,False
2122,-1,8,True
2123,9,10,True
2124,8,9,True
2125,-1,8,True
2126,10,10,False
2127,10,10,False
2128,8,10,True
2129,8,10,True
2130,10,8,True
2131,-1,8,True
2132,8,10,True
2133,8,9,True
2134,9,10,True
2135,-1,-1,False
2136,8,9,True
2137,9,10,True
2138,9,9,False
2139,-1,8,True
2140,-1,8,True
2141,10,10,False
2142,9,9,False
2143,8,10,True
2144,9,9,False
2145,8,10,True
2146,9,9,False
2147,-1,8,True
2148,9,9,False
2149,-1,8,True
2150,10,9,True
2151,-1,8,True
2152,-1,8,True
2153,10,9,True
2154,4,4,False
2155,4,4,False
2156,4,4,False
2157,4,4,False
2158,4,4,False
2159,4,4,False
2160,4,4,False
2161,4,4,False
2162,4,4,False
2163,4,4,False
2164,4,4,False
2165,4,4,False
2166,8,10,True
2167,10,9,True
2168,8,9,True
2169,9,9,False
2170,-1,8,True
2171,10,9,True
2172,9,9,False
2173,9,9,False
2174,9,10,True
2175,10,8,True
2176,9,9,False
2177,10,8,True
2178,10,8,True
2179,-1,8,True
2180,9,10,True
2181,8,10,True
2182,8,10,True
2183,10,9,True
2184,-1,8,True
2185,1,1,False
2186,1,1,False
2187,1,1,False
2188,1,1,False
2189,1,1,False
2190,1,1,False
2191,1,1,False
2192,1,1,False
2193,1,1,False
2194,1,1,False
2195,1,1,False
2196,1,1,False
2197,1,1,False
2198,1,1,False
2199,1,1,False
2200,1,1,False
2201,1,1,False
2202,1,1,False
2203,1,1,False
2204,1,1,False
2205,1,1,False
2206,1,1,False
2207,1,1,False
2208,1,1,False
2209,1,1,False
2210,1,1,False
2211,1,1,False
2212,1,1,False
2213,1,1,False
2214,1,1,False
2215,1,1,False
2216,1,1,False
2217,1,1,False
2218,1,1,False
2219,1,1,False
2220,1,1,False
2221,1,1,False
2222,1,1,False
2223,1,1,False
2224,1,1,False
2225,1,1,False
2226,1,1,False
2227,1,1,False
2228,1,1,False
2229,1,1,False
2230,1,1,False
2231,1,1,False
2232,1,1,False
2233,1,1,False
2234,10,9,True
2235,10,8,True
2236,8,9,True
2237,10,9,True
2238,8,10,True
2239,9,9,False
2240,-1,8,True
2241,9,10,True
2242,10,10,False
2243,-1,8,True
2244,8,9,True
2245,10,10,False
2246,10,9,True
2247,-1,8,True
2248,8,10,True
2249,10,8,True
2250,10,10,False
2251,9,10,True
3029,4,4,False
3030,4,4,False
3031,4,4,False
3032,4,4,False
3033,4,4,False
3034,4,4,False
3035,4,4,False
3036,4,4,False
3037,4,4,False
3038,4,4,False
3039,4,4,False
3040,4,4,False
3041,4,4,False
3042,4,4,False
3043,4,4,False
3044,4,4,False
3045,4,4,False
3046,4,4,False
3047,4,4,False
3048,4,4,False
3049,4,4,False
3050,4,4,False
3051,4,4,False
3052,4,4,False
3053,4,4,False
3054,4,4,False
3055,4,4,False
3056,4,4,False
3057,4,4,False
3058,4,4,False
3059,4,4,False
3060,4,4,False
3061,4,4,False
3062,4,4,False
3063,4,4,False
3064,4,4,False
3065,4,4,False
3066,4,4,False
3067,4,4,False
3068,4,4,False
3069,4,4,False
3070,4,4,False
3071,4,4,False
3072,4,4,False
3073,4,4,False
3074,4,4,False
3075,4,4,False
3076,4,4,False
3077,4,4,False
3078,4,4,False
3079,4,4,False
3308,2,2,False
3317,8,9,True
3318,9,9,False
3319,10,9,True
3320,10,10,False
3321,10,10,False
3322,8,10,True
3323,8,10,True
3324,2,2,False
3325,2,2,False
3391,8,9,True
3392,10,8,True
3393,10,8,True
3394,10,8,True
3395,9,9,False
3396,-1,8,True
3397,9,9,False
3398,2,2,False
3399,2,2,False
3400,2,2,False
3401,9,9,False
3402,-1,8,True
3403,10,9,True
3404,-1,8,True
3405,9,9,False
3406,9,10,True
3407,2,2,False
3443,9,9,False
3444,9,9,False
3445,10,9,True
3446,8,9,True
3447,8,9,True
3448,9,10,True
3449,10,10,False
3450,2,2,False
3451,8,9,True
3452,8,10,True
3453,-1,8,True
3454,-1,8,True
3455,8,9,True
3456,9,9,False
3457,9,9,False
3458,8,9,True
3459,-1,8,True
3539,8,10,True
3540,8,9,True
3541,10,9,True
3542,10,9,True
3543,2,2,False
3556,10,9,True
3557,8,10,True
3558,8,9,True
3559,10,9,True
3560,9,9,False
3561,-1,8,True
3562,9,10,True
3563,10,9,True
3564,8,10,True
3565,-1,8,True
3566,9,9,False
3567,8,9,True
3568,-1,8,True
3569,-1,8,True
3570,8,10,True
3571,9,10,True
3572,8,10,True
3573,-1,8,True
3574,9,9,False
3575,2,2,False
3576,4,4,False
3577,4,4,False
3578,-1,8,True
3579,2,2,False
3580,9,9,False
3581,10,9,True
3660,8,10,True
3661,10,9,True
3662,2,2,False
3663,10,9,True
3664,10,9,True
3665,10,10,False
3666,9,9,False
3667,1,1,False
3668,1,1,False
3669,1,1,False
3731,-1,8,True
3732,2,2,False
3733,10,10,False
3734,-1,8,True
3735,2,2,False
3748,2,2,False
3749,9,10,True
3750,9,9,False
3751,9,9,False
3752,10,9,True
3753,2,2,False
3754,10,9,True
3755,-1,8,True
3756,9,9,False
3757,8,9,True
3758,10,10,False
3759,9,10,True
3760,10,8,True
3761,-1,-1,False
3762,-1,8,True
3763,2,2,False
3764,8,9,True
3765,8,10,True
3766,2,2,False
3944,2,2,False
3945,9,10,True
3946,8,10,True
3947,2,2,False
4009,9,9,False
4105,2,2,False
4122,10,10,False
4123,-1,8,True
4124,8,10,True
4194,10,9,True
4195,9,10,True
4196,10,9,True
4197,8,10,True
4198,10,10,False
4199,10,10,False
4238,8,9,True
4239,10,8,True
4240,10,10,False
4241,10,9,True
4242,8,9,True
4243,10,10,False
4244,-1,8,True
4245,2,2,False
4246,2,2,False
4247,8,9,True
4248,2,2,False
4249,4,4,False
4250,4,4,False
4251,9,10,True
4252,9,9,False
4253,9,9,False
4254,8,9,True
4255,10,10,False
4256,-1,8,True
4378,4,4,False
4379,4,4,False
4380,4,4,False
4381,4,4,False
4382,4,4,False
4383,4,4,False
4384,4,4,False
4385,8,9,True
4386,8,9,True
4387,9,9,False
4388,10,8,True
4389,9,9,False
4390,10,8,True
4391,9,10,True
4392,10,10,False
4393,10,10,False
4394,9,9,False
4395,10,8,True
4396,8,9,True
4397,-1,8,True
4398,10,9,True
4399,2,2,False
4400,2,2,False
4562,9,10,True
4563,9,9,False
4564,10,9,True
4565,10,8,True
4566,2,2,False
4567,2,2,False
4568,8,9,True
4569,8,10,True
4570,-1,8,True
4571,10,10,False
4572,-1,-1,False
4573,4,4,False
4574,4,4,False
4575,4,4,False
4576,2,2,False
4577,2,2,False
4652,-1,10,True
4653,9,9,False
4654,2,2,False
4655,10,8,True
4656,9,9,False
4657,8,9,True
4658,10,9,True
4659,-1,10,True
4660,9,10,True
4661,8,9,True
4662,10,10,False
4663,9,10,True
4664,10,9,True
4665,10,9,True
4666,8,9,True
4667,10,10,False
4668,9,10,True
4669,-1,-1,False
4670,10,10,False
4701,9,9,False
4702,-1,8,True
4703,8,9,True
4704,2,2,False
4705,8,9,True
4706,10,9,True
4707,9,9,False
4708,9,9,False
4709,2,2,False
4824,2,2,False
4847,-1,-1,False
4848,2,2,False
4891,2,2,False
4892,-1,8,True
4893,9,9,False
4894,10,10,False
4895,9,10,True
4896,8,10,True
4897,-1,8,True
4898,8,9,True
4899,9,10,True
4900,10,9,True
4901,9,10,True
4902,8,10,True
4903,2,2,False
4904,4,4,False
4905,4,4,False
4906,4,4,False
4907,4,4,False
4908,4,4,False
4909,2,2,False
4910,9,10,True
4911,9,10,True
4912,10,10,False
4913,10,10,False
4914,8,9,True
4915,10,10,False
4916,2,2,False
4917,2,2,False
4975,9,9,False
4976,-1,8,True
