scenario,version,min_cluster_size,min_samples,cluster_id,count,percentage
PF,version_a,2000,150,-1,38760,33.139818226900026
PF,version_a,2000,150,0,2311,1.9759060867483476
PF,version_a,2000,150,1,3847,3.289186809052745
PF,version_a,2000,150,2,2373,2.0289161159038636
PF,version_a,2000,150,3,3500,2.9925016458759055
PF,version_a,2000,150,4,4887,4.178387298113014
PF,version_a,2000,150,5,3139,2.6838464761155616
PF,version_a,2000,150,6,4516,3.8611821236501678
PF,version_a,2000,150,7,7432,6.354363494899923
PF,version_a,2000,150,8,25861,22.11116716114194
PF,version_a,2000,150,9,5003,4.277567352662044
PF,version_a,2000,150,10,3502,2.9942116468164057
PF,version_a,2000,150,11,2626,2.245231234877179
PF,version_a,2000,150,12,2043,1.7467659607212784
PF,version_a,2000,150,13,5114,4.372472404859823
PF,version_a,2000,150,14,2045,1.748475961661779
PF,version_b,2000,150,-1,41650,35.61076958592327
PF,version_b,2000,150,0,2244,1.9186210552415803
PF,version_b,2000,150,1,3874,3.3122718217495017
PF,version_b,2000,150,2,4845,4.142477278362503
PF,version_b,2000,150,3,2988,2.554741405107773
PF,version_b,2000,150,4,2222,1.8998110448960746
PF,version_b,2000,150,5,2815,2.406826323754478
PF,version_b,2000,150,6,4301,3.6773570225463628
PF,version_b,2000,150,7,6510,5.566053061329184
PF,version_b,2000,150,8,24136,20.636291349960242
PF,version_b,2000,150,9,4479,3.8295471062509088
PF,version_b,2000,150,10,5112,4.370762403919322
PF,version_b,2000,150,11,6743,5.765268170897494
PF,version_b,2000,150,12,5040,4.309202370061303
TF,version_a,2000,150,-1,51762,44.25653434109389
TF,version_a,2000,150,0,3576,3.057481681614925
TF,version_a,2000,150,1,4807,4.109987260492994
TF,version_a,2000,150,2,4537,3.879137133525423
TF,version_a,2000,150,3,2908,2.486341367487752
TF,version_a,2000,150,4,4447,3.8021870912029
TF,version_a,2000,150,5,5420,4.634102548756402
TF,version_a,2000,150,6,23006,19.67014081857745
TF,version_a,2000,150,7,4780,4.086902247796236
TF,version_a,2000,150,8,3153,2.695816482699066
TF,version_a,2000,150,9,4069,3.4789969134483028
TF,version_a,2000,150,10,4494,3.842372113304662
TF,version_b,2000,150,-1,48588,41.542762848519565
TF,version_b,2000,150,0,3739,3.196846758265717
TF,version_b,2000,150,1,5249,4.487897468343608
TF,version_b,2000,150,2,4505,3.851777118477415
TF,version_b,2000,150,3,2828,2.4179413298677317
TF,version_b,2000,150,4,3918,3.3498918424405133
TF,version_b,2000,150,5,6084,5.201822861002574
TF,version_b,2000,150,6,22492,19.230670576868818
TF,version_b,2000,150,7,4559,3.897947143870929
TF,version_b,2000,150,8,4546,3.886832137757676
TF,version_b,2000,150,9,5925,5.065877786232782
TF,version_b,2000,150,10,4526,3.8697321283526707
