street_id,fid,MS_ID,scenario,version,cluster_id
142,142,142,TF,version_a,0
143,143,143,TF,version_a,0
144,144,144,TF,version_a,0
145,145,145,TF,version_a,0
146,146,146,TF,version_a,0
147,147,147,TF,version_a,0
148,148,148,TF,version_a,0
149,149,149,TF,version_a,0
150,150,150,TF,version_a,0
151,151,151,TF,version_a,0
152,152,152,TF,version_a,0
153,153,153,TF,version_a,0
154,154,154,TF,version_a,0
155,155,155,TF,version_a,0
156,156,156,TF,version_a,0
157,157,157,TF,version_a,0
158,158,158,TF,version_a,0
159,159,159,TF,version_a,0
160,160,160,TF,version_a,0
161,161,161,TF,version_a,0
162,162,162,TF,version_a,0
163,163,163,TF,version_a,0
164,164,164,TF,version_a,0
165,165,165,TF,version_a,0
166,166,166,TF,version_a,0
167,167,167,TF,version_a,0
168,168,168,TF,version_a,0
169,169,169,TF,version_a,0
170,170,170,TF,version_a,0
171,171,171,TF,version_a,0
172,172,172,TF,version_a,0
173,173,173,TF,version_a,0
174,174,174,TF,version_a,0
175,175,175,TF,version_a,0
176,176,176,TF,version_a,0
177,177,177,TF,version_a,0
178,178,178,TF,version_a,0
179,179,179,TF,version_a,0
180,180,180,TF,version_a,0
181,181,181,TF,version_a,0
182,182,182,TF,version_a,0
183,183,183,TF,version_a,0
184,184,184,TF,version_a,0
185,185,185,TF,version_a,0
186,186,186,TF,version_a,0
187,187,187,TF,version_a,0
188,188,188,TF,version_a,0
189,189,189,TF,version_a,0
190,190,190,TF,version_a,0
191,191,191,TF,version_a,0
192,192,192,TF,version_a,0
193,193,193,TF,version_a,0
194,194,194,TF,version_a,0
195,195,195,TF,version_a,0
196,196,196,TF,version_a,0
197,197,197,TF,version_a,0
198,198,198,TF,version_a,0
199,199,199,TF,version_a,0
200,200,200,TF,version_a,0
201,201,201,TF,version_a,0
202,202,202,TF,version_a,0
203,203,203,TF,version_a,0
204,204,204,TF,version_a,0
205,205,205,TF,version_a,0
206,206,206,TF,version_a,0
207,207,207,TF,version_a,0
208,208,208,TF,version_a,0
209,209,209,TF,version_a,0
210,210,210,TF,version_a,0
211,211,211,TF,version_a,0
212,212,212,TF,version_a,0
213,213,213,TF,version_a,0
214,214,214,TF,version_a,0
215,215,215,TF,version_a,0
216,216,216,TF,version_a,0
217,217,217,TF,version_a,0
218,218,218,TF,version_a,0
219,219,219,TF,version_a,0
220,220,220,TF,version_a,0
221,221,221,TF,version_a,0
222,222,222,TF,version_a,0
223,223,223,TF,version_a,0
224,224,224,TF,version_a,0
225,225,225,TF,version_a,0
226,226,226,TF,version_a,0
227,227,227,TF,version_a,0
228,228,228,TF,version_a,0
229,229,229,TF,version_a,0
230,230,230,TF,version_a,0
