street_id,fid,MS_ID,scenario,version,cluster_id
142,142,142,PF,version_a,6
143,143,143,PF,version_a,6
144,144,144,PF,version_a,6
145,145,145,PF,version_a,6
146,146,146,PF,version_a,6
147,147,147,PF,version_a,6
148,148,148,PF,version_a,6
149,149,149,PF,version_a,6
150,150,150,PF,version_a,6
151,151,151,PF,version_a,6
152,152,152,PF,version_a,6
153,153,153,PF,version_a,6
154,154,154,PF,version_a,6
155,155,155,PF,version_a,6
156,156,156,PF,version_a,6
157,157,157,PF,version_a,6
158,158,158,PF,version_a,6
159,159,159,PF,version_a,6
160,160,160,PF,version_a,6
161,161,161,PF,version_a,6
162,162,162,PF,version_a,6
163,163,163,PF,version_a,6
164,164,164,PF,version_a,6
165,165,165,PF,version_a,6
166,166,166,PF,version_a,6
167,167,167,PF,version_a,6
168,168,168,PF,version_a,6
169,169,169,PF,version_a,6
170,170,170,PF,version_a,6
171,171,171,PF,version_a,6
172,172,172,PF,version_a,6
173,173,173,PF,version_a,6
174,174,174,PF,version_a,6
175,175,175,PF,version_a,6
176,176,176,PF,version_a,6
177,177,177,PF,version_a,6
178,178,178,PF,version_a,6
179,179,179,PF,version_a,6
180,180,180,PF,version_a,6
181,181,181,PF,version_a,6
182,182,182,PF,version_a,6
183,183,183,PF,version_a,6
184,184,184,PF,version_a,6
185,185,185,PF,version_a,6
186,186,186,PF,version_a,6
187,187,187,PF,version_a,6
188,188,188,PF,version_a,6
189,189,189,PF,version_a,6
190,190,190,PF,version_a,6
191,191,191,PF,version_a,6
192,192,192,PF,version_a,6
193,193,193,PF,version_a,6
194,194,194,PF,version_a,6
195,195,195,PF,version_a,6
196,196,196,PF,version_a,6
197,197,197,PF,version_a,6
198,198,198,PF,version_a,6
199,199,199,PF,version_a,6
200,200,200,PF,version_a,6
201,201,201,PF,version_a,6
202,202,202,PF,version_a,6
203,203,203,PF,version_a,6
204,204,204,PF,version_a,6
205,205,205,PF,version_a,6
206,206,206,PF,version_a,6
207,207,207,PF,version_a,6
208,208,208,PF,version_a,6
209,209,209,PF,version_a,6
210,210,210,PF,version_a,6
211,211,211,PF,version_a,6
212,212,212,PF,version_a,6
213,213,213,PF,version_a,6
214,214,214,PF,version_a,6
215,215,215,PF,version_a,6
216,216,216,PF,version_a,6
217,217,217,PF,version_a,6
218,218,218,PF,version_a,6
219,219,219,PF,version_a,6
220,220,220,PF,version_a,6
221,221,221,PF,version_a,6
222,222,222,PF,version_a,6
223,223,223,PF,version_a,6
224,224,224,PF,version_a,6
225,225,225,PF,version_a,6
226,226,226,PF,version_a,6
227,227,227,PF,version_a,6
228,228,228,PF,version_a,6
229,229,229,PF,version_a,6
230,230,230,PF,version_a,6
231,231,231,PF,version_a,6
232,232,232,PF,version_a,6
233,233,233,PF,version_a,6
1226,1226,1226,PF,version_a,8
1227,1227,1227,PF,version_a,8
1228,1228,1228,PF,version_a,24
1229,1229,1229,PF,version_a,22
1230,1230,1230,PF,version_a,17
1231,1231,1231,PF,version_a,18
1232,1232,1232,PF,version_a,18
1233,1233,1233,PF,version_a,18
1234,1234,1234,PF,version_a,22
1235,1235,1235,PF,version_a,20
1236,1236,1236,PF,version_a,22
1237,1237,1237,PF,version_a,17
1238,1238,1238,PF,version_a,25
1239,1239,1239,PF,version_a,17
1240,1240,1240,PF,version_a,18
1241,1241,1241,PF,version_a,24
1242,1242,1242,PF,version_a,19
1243,1243,1243,PF,version_a,20
1244,1244,1244,PF,version_a,24
1245,1245,1245,PF,version_a,23
1246,1246,1246,PF,version_a,20
1247,1247,1247,PF,version_a,18
1248,1248,1248,PF,version_a,17
1249,1249,1249,PF,version_a,21
