street_id,fid,MS_ID,scenario,version,cluster_id
142,142,142,PF,version_b,2
143,143,143,PF,version_b,2
144,144,144,PF,version_b,2
145,145,145,PF,version_b,2
146,146,146,PF,version_b,2
147,147,147,PF,version_b,2
148,148,148,PF,version_b,2
149,149,149,PF,version_b,2
150,150,150,PF,version_b,2
151,151,151,PF,version_b,2
152,152,152,PF,version_b,2
153,153,153,PF,version_b,2
154,154,154,PF,version_b,2
155,155,155,PF,version_b,2
156,156,156,PF,version_b,2
157,157,157,PF,version_b,2
158,158,158,PF,version_b,2
159,159,159,PF,version_b,2
160,160,160,PF,version_b,2
161,161,161,PF,version_b,2
162,162,162,PF,version_b,2
163,163,163,PF,version_b,2
164,164,164,PF,version_b,2
165,165,165,PF,version_b,2
166,166,166,PF,version_b,2
167,167,167,PF,version_b,2
168,168,168,PF,version_b,2
169,169,169,PF,version_b,2
170,170,170,PF,version_b,2
171,171,171,PF,version_b,2
172,172,172,PF,version_b,2
173,173,173,PF,version_b,2
174,174,174,PF,version_b,2
175,175,175,PF,version_b,2
176,176,176,PF,version_b,2
177,177,177,PF,version_b,2
178,178,178,PF,version_b,2
179,179,179,PF,version_b,2
180,180,180,PF,version_b,2
181,181,181,PF,version_b,2
182,182,182,PF,version_b,2
183,183,183,PF,version_b,2
184,184,184,PF,version_b,2
185,185,185,PF,version_b,2
186,186,186,PF,version_b,2
187,187,187,PF,version_b,2
188,188,188,PF,version_b,2
189,189,189,PF,version_b,2
190,190,190,PF,version_b,2
191,191,191,PF,version_b,2
192,192,192,PF,version_b,2
193,193,193,PF,version_b,2
194,194,194,PF,version_b,2
195,195,195,PF,version_b,2
196,196,196,PF,version_b,2
197,197,197,PF,version_b,2
198,198,198,PF,version_b,2
199,199,199,PF,version_b,2
200,200,200,PF,version_b,2
201,201,201,PF,version_b,2
202,202,202,PF,version_b,2
203,203,203,PF,version_b,2
204,204,204,PF,version_b,2
205,205,205,PF,version_b,2
206,206,206,PF,version_b,2
207,207,207,PF,version_b,2
208,208,208,PF,version_b,2
209,209,209,PF,version_b,2
210,210,210,PF,version_b,2
211,211,211,PF,version_b,2
212,212,212,PF,version_b,2
213,213,213,PF,version_b,2
214,214,214,PF,version_b,2
215,215,215,PF,version_b,2
216,216,216,PF,version_b,2
217,217,217,PF,version_b,2
218,218,218,PF,version_b,2
219,219,219,PF,version_b,2
220,220,220,PF,version_b,2
221,221,221,PF,version_b,2
222,222,222,PF,version_b,2
223,223,223,PF,version_b,2
224,224,224,PF,version_b,2
225,225,225,PF,version_b,2
226,226,226,PF,version_b,2
227,227,227,PF,version_b,2
228,228,228,PF,version_b,2
229,229,229,PF,version_b,2
230,230,230,PF,version_b,2
231,231,231,PF,version_b,2
232,232,232,PF,version_b,2
233,233,233,PF,version_b,2
1226,1226,1226,PF,version_b,7
1227,1227,1227,PF,version_b,7
1228,1228,1228,PF,version_b,16
1229,1229,1229,PF,version_b,24
1230,1230,1230,PF,version_b,22
1231,1231,1231,PF,version_b,17
1232,1232,1232,PF,version_b,17
1233,1233,1233,PF,version_b,17
1234,1234,1234,PF,version_b,24
1235,1235,1235,PF,version_b,20
1236,1236,1236,PF,version_b,24
1237,1237,1237,PF,version_b,22
1238,1238,1238,PF,version_b,19
