feature,min,max,mean,std,missing_value_count
Per_extent,0.0,1.0,0.002257201241460683,0.047456564769381794,0
Tem_extent,0.0,1.0,0.024829213656067512,0.1556050475594988,0
Street_type_NOR,0.0,1.0,0.34203652562008907,0.22983162488262718,0
Resident_NOR,0.0,1.0,0.3303156041228484,0.3458116407347346,0
DayNight_NOR,0.0,1.0,0.2867011154644156,0.3074633664313844,0
PRM_NOR,0.0,1.0,0.2675668089323178,0.31772431248725186,0
N_PFlossR_2kiw,-1.0,1.0,-0.047703427283355054,0.22027063291203777,72098
N_PFlossR_2ktw,-1.0,1.0,-0.0294537564020947,0.11206911889233419,4522
N_PFlossR_2kmw,-1.0,1.0,-0.03131238314711412,0.12998501467139043,22635
PFResident_lossR,-1.0,0.0,-0.008210326597476775,0.07537949918224708,56095
PFDaynight_lossR,-1.0,0.0,-0.008988354178653055,0.07199659500436051,58905
PFPRM_lossR,-1.0,0.0,-0.0075019726836548775,0.07068546933606817,64181
PFAB2k_lossR,-1.0,1.0,-0.03879697828939052,0.14863805656249346,9013
N_PFAB2k_lossR,0.0,1.0,0.04017489595128292,0.14827155529728112,9013
PFAB2k_NOR,0.0,1.0,0.02041163852728326,0.09139287211253945,9013
PFAB5k_lossR,-1.0,1.0,-0.07265708608338665,0.2070782536394988,9012
N_PFAB5k_lossR,0.0,1.0,0.09108712917253638,0.19965861421670697,9012
PFAB5k_NOR,0.0,1.0,0.04192313488619762,0.12016375897777887,9012
PF_Index_Risk_equal,0.0,0.911250360838595,0.02096308497388563,0.0724793703410736,0
