feature,min,max,mean,std,missing_value_count
Per_extent,0.0,1.0,0.002257201241460683,0.047456564769381794,0
Tem_extent,0.0,1.0,0.024829213656067512,0.1556050475594988,0
Street_type_NOR,0.0,1.0,0.34203652562008907,0.22983162488262718,0
Resident_NOR,0.0,1.0,0.3303156041228484,0.3458116407347346,0
DayNight_NOR,0.0,1.0,0.2867011154644156,0.3074633664313844,0
PRM_NOR,0.0,1.0,0.2675668089323178,0.31772431248725186,0
N_TFlossR_2kiw,-1.0,1.0,-0.07148654760967509,0.372076077057986,72098
N_TFlossR_2ktw,-1.0,1.0,-0.04615891330513893,0.23849324804662952,4522
N_TFlossR_2kmw,-1.0,1.0,-0.06934621206667133,0.30078511577387845,22635
TFResident_lossR,-1.0,0.0,-0.04304636227050021,0.19149560935149346,56095
TFDaynight_lossR,-1.0,0.0,-0.05652454934512798,0.21465240322084334,58905
TFPRM_lossR,-1.0,0.0,-0.05101595043446999,0.2094979620879558,64181
TFAB2k_lossR,-1.0,1.0,-0.09896021968519621,0.24765410536535104,9013
N_TFAB2k_lossR,0.0,1.0,0.10060624287030334,0.2469900035160457,9013
TFAB2k_NOR,0.0,1.0,0.047753598260718275,0.14116694659208218,9013
TFAB5k_lossR,-1.0,1.0,-0.18042310624971708,0.3002679370745682,9012
N_TFAB5k_lossR,0.0,1.0,0.18610766570897921,0.29677811369144874,9012
TFAB5k_NOR,0.0,1.0,0.08149242971577036,0.16883565439025816,9012
TF_Index_Risk_equal,0.0,0.950085476099507,0.05976266316249524,0.14774939915936564,0
