street_id,cluster_id_PF,cluster_id_TF,is_conflict
142,6,9,True
143,6,9,True
144,6,9,True
145,6,9,True
146,6,9,True
147,6,9,True
148,6,9,True
149,6,9,True
150,6,9,True
151,6,9,True
152,6,9,True
153,6,9,True
154,6,9,True
155,6,9,True
156,6,9,True
157,6,9,True
158,6,9,True
159,6,9,True
160,6,9,True
161,6,9,True
162,6,9,True
163,6,9,True
164,6,9,True
165,6,9,True
166,6,9,True
167,6,9,True
168,6,9,True
169,6,9,True
170,6,9,True
171,6,9,True
172,6,9,True
173,6,9,True
174,6,9,True
175,6,9,True
176,6,9,True
177,6,9,True
178,6,9,True
179,6,9,True
180,6,9,True
181,6,9,True
182,6,9,True
183,6,9,True
184,6,9,True
185,6,9,True
186,6,9,True
187,6,9,True
188,6,9,True
189,6,9,True
190,6,9,True
191,6,9,True
192,6,9,True
193,6,9,True
194,6,9,True
195,6,9,True
196,6,9,True
197,6,9,True
198,6,9,True
199,6,9,True
200,6,9,True
201,6,9,True
202,6,9,True
203,6,9,True
204,6,9,True
205,6,9,True
206,6,9,True
207,6,9,True
208,6,9,True
209,6,9,True
210,6,9,True
211,6,9,True
212,6,9,True
213,6,9,True
214,6,9,True
215,6,9,True
216,6,9,True
217,6,9,True
218,6,9,True
219,6,9,True
220,6,9,True
221,6,9,True
222,6,9,True
223,6,9,True
224,6,9,True
225,6,9,True
226,6,9,True
227,6,9,True
228,6,9,True
229,6,9,True
230,6,9,True
231,6,9,True
232,6,9,True
233,6,9,True
1226,8,7,True
1227,8,7,True
1228,24,22,True
1229,22,23,True
1230,17,18,True
1232,18,23,True
1233,18,24,True
1234,22,17,True
1235,20,21,True
1236,22,18,True
1237,17,19,True
1239,17,18,True
1240,18,19,True
1241,24,21,True
1242,19,18,True
1243,20,17,True
1244,24,25,True
1245,23,21,True
1246,20,24,True
1248,17,19,True
1249,21,-1,True
1251,20,25,True
1253,19,21,True
1254,18,24,True
1255,8,7,True
1256,8,7,True
1257,8,7,True
1258,8,7,True
1259,8,7,True
1260,8,7,True
1261,8,7,True
1262,8,7,True
1263,8,7,True
1264,8,7,True
1265,8,7,True
1266,8,7,True
1267,8,7,True
2068,19,20,True
2069,20,24,True
2070,20,19,True
2071,24,17,True
2072,17,18,True
2073,18,17,True
2074,21,-1,True
2075,24,23,True
2076,21,-1,True
2077,18,17,True
2078,21,22,True
2079,24,18,True
