scenario,version,min_cluster_size,min_samples,cluster_id,count,percentage
PF,version_a,800,150,-1,30849,26.37590950675023
PF,version_a,800,150,0,2311,1.9759060867483476
PF,version_a,800,150,1,948,0.8105404457972452
PF,version_a,800,150,2,2373,2.0289161159038636
PF,version_a,800,150,3,3500,2.9925016458759055
PF,version_a,800,150,4,4887,4.178387298113014
PF,version_a,800,150,5,3139,2.6838464761155616
PF,version_a,800,150,6,2789,2.3845963115279716
PF,version_a,800,150,7,812,0.69426038184321
PF,version_a,800,150,8,4516,3.8611821236501678
PF,version_a,800,150,9,980,0.8379004608452534
PF,version_a,800,150,10,6423,5.491668020417411
PF,version_a,800,150,11,25861,22.11116716114194
PF,version_a,800,150,12,5003,4.277567352662044
PF,version_a,800,150,13,1445,1.2354756795116237
PF,version_a,800,150,14,1517,1.2970357133696424
PF,version_a,800,150,15,1219,1.0422455732350653
PF,version_a,800,150,16,1570,1.342350738292906
PF,version_a,800,150,17,1488,1.272240699732385
PF,version_a,800,150,18,2626,2.245231234877179
PF,version_a,800,150,19,2043,1.7467659607212784
PF,version_a,800,150,20,2042,1.745910960251028
PF,version_a,800,150,21,1460,1.2483006865653776
PF,version_a,800,150,22,2045,1.748475961661779
PF,version_a,800,150,23,1555,1.3295257312391522
PF,version_a,800,150,24,2038,1.742490958370027
PF,version_a,800,150,25,1520,1.2996007147803932
PF,version_b,800,150,-1,35791,30.601321830727006
PF,version_b,800,150,0,2244,1.9186210552415803
PF,version_b,800,150,1,1129,0.9652955309125419
PF,version_b,800,150,2,3874,3.3122718217495017
PF,version_b,800,150,3,4845,4.142477278362503
PF,version_b,800,150,4,2988,2.554741405107773
PF,version_b,800,150,5,2222,1.8998110448960746
PF,version_b,800,150,6,2815,2.406826323754478
PF,version_b,800,150,7,4301,3.6773570225463628
PF,version_b,800,150,8,947,0.809685445326995
PF,version_b,800,150,9,5371,4.592207525714139
PF,version_b,800,150,10,24136,20.636291349960242
PF,version_b,800,150,11,4479,3.8295471062509088
PF,version_b,800,150,12,1387,1.1858856522371086
PF,version_b,800,150,13,1514,1.2944707119588916
PF,version_b,800,150,14,1213,1.0371155704135637
PF,version_b,800,150,15,1569,1.3414957378226557
PF,version_b,800,150,16,1981,1.6937559315657622
PF,version_b,800,150,17,2545,2.1759761967869085
PF,version_b,800,150,18,1992,1.7031609367385152
PF,version_b,800,150,19,1443,1.2337656785711233
PF,version_b,800,150,20,1960,1.6758009216905068
PF,version_b,800,150,21,1382,1.1816106498858574
PF,version_b,800,150,22,1397,1.1944356569396113
PF,version_b,800,150,23,1463,1.2508656879761284
PF,version_b,800,150,24,1971,1.6852059268632598
TF,version_a,800,150,-1,43745,37.401995571097565
TF,version_a,800,150,0,1548,1.3235407279474005
TF,version_a,800,150,1,1598,1.3662907514599132
TF,version_a,800,150,2,1793,1.5330158431587138
TF,version_a,800,150,3,2923,2.499166374541506
TF,version_a,800,150,4,4537,3.879137133525423
TF,version_a,800,150,5,2908,2.486341367487752
TF,version_a,800,150,6,5420,4.634102548756402
TF,version_a,800,150,7,3561,3.0446566745611707
TF,version_a,800,150,8,870,0.743850409117725
TF,version_a,800,150,9,1663,1.42186578202618
TF,version_a,800,150,10,880,0.7524004138202276
TF,version_a,800,150,11,23006,19.67014081857745
TF,version_a,800,150,12,1257,1.074735591104575
TF,version_a,800,150,13,1289,1.1020956061525833
TF,version_a,800,150,14,2363,2.020366111201361
TF,version_a,800,150,15,1764,1.5082208295214563
TF,version_a,800,150,16,967,0.8267854547320002
TF,version_a,800,150,17,1341,1.1465556306055968
TF,version_a,800,150,18,1810,1.5475508511529683
TF,version_a,800,150,19,1876,1.6039808821894854
TF,version_a,800,150,20,1277,1.0918356005095804
TF,version_a,800,150,21,2286,1.9545310749920914
TF,version_a,800,150,22,1783,1.524465838456211
TF,version_a,800,150,23,1338,1.143990629194846
TF,version_a,800,150,24,1401,1.1978556588206124
TF,version_a,800,150,25,1755,1.500525825289204
TF,version_b,800,150,-1,44049,37.66191571405365
TF,version_b,800,150,0,1470,1.2568506912678803
TF,version_b,800,150,1,1329,1.1362956249625937
TF,version_b,800,150,2,3739,3.196846758265717
TF,version_b,800,150,3,4505,3.851777118477415
TF,version_b,800,150,4,2828,2.4179413298677317
TF,version_b,800,150,5,1767,1.5107858309322069
TF,version_b,800,150,6,2710,2.317051274378201
TF,version_b,800,150,7,3918,3.3498918424405133
TF,version_b,800,150,8,854,0.7301704015937209
TF,version_b,800,150,9,5192,4.4391624415393425
TF,version_b,800,150,10,22492,19.230670576868818
TF,version_b,800,150,11,1259,1.0764455920450757
TF,version_b,800,150,12,2354,2.012671106969109
TF,version_b,800,150,13,1226,1.0482305765268172
TF,version_b,800,150,14,1747,1.4936858215272018
TF,version_b,800,150,15,964,0.8242204533212493
TF,version_b,800,150,16,1856,1.58688087278448
TF,version_b,800,150,17,2244,1.9186210552415803
TF,version_b,800,150,18,1738,1.4859908172949494
TF,version_b,800,150,19,1294,1.1063706085038347
TF,version_b,800,150,20,1232,1.0533605793483187
TF,version_b,800,150,21,1293,1.1055156080335844
TF,version_b,800,150,22,1782,1.523610837985961
TF,version_b,800,150,23,1362,1.1645106404808523
TF,version_b,800,150,24,1755,1.500525825289204
