feature,mean,variance,scale,original_null_count,original_min,original_max,filled_min,filled_max
Tem_extent,0.20906949352179033,0.16535944040033237,0.4066441200857728,0,0.0,1.0,0.0,1.0
N_TFlossR_2kiw,-0.23090709093835876,0.4165965556462557,0.6454429143202796,4256,-1.0,1.0,-1.0,1.0
N_TFlossR_2ktw,-0.20576932718431099,0.40030453738519645,0.6326962441687136,7,-1.0,1.0,-1.0,1.0
N_TFlossR_2kmw,-0.34361531657635425,0.4913402739026687,0.7009566847549631,357,-1.0,1.0,-1.0,1.0
TFResident_lossR,-0.18772119217875738,0.13488003163394177,0.36726016886390195,5595,-1.0,0.0,-1.0,0.0
TFDaynight_lossR,-0.22993235335813703,0.1523432337446453,0.39031171356320493,4919,-1.0,0.0,-1.0,0.0
TFPRM_lossR,-0.18745248518389238,0.1362912295939217,0.3691764206905984,5916,-1.0,0.0,-1.0,0.0
TFAB2k_NOR,0.6276971791055881,0.1185038561971006,0.3442438905733849,439,0.0,1.0,0.0,1.0
TFAB5k_NOR,0.7724579651973192,0.0715880753503294,0.26755948002328267,439,0.0,1.0,0.0,1.0
TFABC_NOR,0.0881495247383696,0.013370169082483613,0.11562944729818445,0,0.0,0.838900276696294,0.0,0.838900276696294
